Source,Destination,TE_Kraskov,Null Mean,Null Std Dev,P-value,Surrogates
0,1,-0.005516320153325094,-0.0008662888655847872,0.010035361042122657,0.7,50
0,2,0.0024554650692155677,0.0003275174131001546,0.009014851090009773,0.43,50
0,3,0.011880270244628566,0.00021761945217798674,0.009639236349355235,0.11,50
0,4,-0.012218587769805889,-0.0010414932119152038,0.007385151482202214,0.92,50
0,5,0.019548079940564567,-0.00019794682524004902,0.008806951331481053,0.01,50
0,6,0.011479936808118318,-0.002504043912409776,0.009350668861751748,0.07,50
0,7,0.011612265196157767,-0.0008625560359338813,0.009485914285916545,0.1,50
0,8,0.0071024082540016575,-0.001096903259801253,0.007373313011245057,0.12,50
0,9,-0.0018612305109754201,-0.001752919600096635,0.00913694927677323,0.52,50
0,10,0.008318326455779124,-0.0001623648167294195,0.009699091019620996,0.18,50
0,11,-0.010851465524844006,-1.5736891991224854e-05,0.009016079481307318,0.91,50
0,12,-0.01428600748419645,-0.0003259188392964341,0.008728465197594307,0.95,50
0,13,-0.01736928494739637,1.8941327149904484e-05,0.008654003518854156,0.98,50
0,14,-0.008632919647494075,0.0010819460033555928,0.008919832912558752,0.86,50
0,15,0.01653150607287618,0.00025765458145837804,0.010275028761120982,0.07,50
0,16,0.006085640095684963,0.000495855205520831,0.00931416371866618,0.29,50
0,17,0.006134890892091627,-0.0021154072185138977,0.008004008670934067,0.15,50
0,18,-0.011035954620472854,-0.0003095243398934167,0.009252621069244502,0.88,50
0,19,-0.003114172228375789,-0.00023367298640414758,0.00860199461947634,0.65,50
0,20,-0.059388093268740005,-0.07431656767614404,0.004624925827287656,0.0,50
0,21,-0.07516362670217974,-0.08256626573504139,0.003411939267675632,0.01,50
0,22,0.011386907823683068,-0.016072430505271983,0.006685530379346568,0.0,50
0,23,0.027907281808616013,-0.002673703704954148,0.007257817279662111,0.0,50
0,24,-0.05255853457488008,-0.06358056710538199,0.0040293500347071,0.0,50
0,25,-0.025475332703823128,-0.0484320661780091,0.0052397811462744455,0.0,50
0,26,-0.08973451704288138,-0.10556893013018617,0.002960147182432661,0.0,50
0,27,-0.09566482904933182,-0.10757998766784713,0.002743901421787022,0.0,50
0,28,0.002661351469875506,-0.0034511770996242,0.007736339244900319,0.19,50
0,29,0.052891349469707194,-0.003564662317304053,0.009181195997527095,0.0,50
0,30,0.011094950302873219,-0.0029470608328800185,0.0077153383025756065,0.04,50
0,31,-0.02628378746338983,-0.05046381802407377,0.005793927476480439,0.0,50
0,32,-0.008076303050941591,-0.002521339541243188,0.009597698303513773,0.73,50
0,33,0.010407751990948955,-0.0025958166829536185,0.007295369214128652,0.05,50
0,34,-0.09619046311235535,-0.1033039519634073,0.0031051436589558477,0.0,50
0,35,-0.01904937557699682,-0.04412206401948649,0.004445638296497769,0.0,50
1,0,0.00896083032413908,0.0008942582088489865,0.009362189962492329,0.19,50
1,2,0.012683245463120663,-0.00038403803516361243,0.00940129346537224,0.08,50
1,3,-6.26242501209906e-05,-0.001605517066571892,0.009168321252332141,0.44,50
1,4,0.010221647185473859,0.0006362288331448507,0.009063285932131883,0.16,50
1,5,0.005426766369413083,0.0009352537785880738,0.010405828768199517,0.35,50
1,6,0.009964439427196325,0.0003933154881551887,0.008929489697193885,0.12,50
1,7,-0.011875225564988323,-0.0007221241997339278,0.009464576046688858,0.9,50
1,8,0.004472735453118271,0.0004898915545211901,0.009534724723359561,0.35,50
1,9,0.010785249411145281,0.0005877542890051702,0.008406777407762673,0.1,50
1,10,0.004021812244016654,-0.0017512623933966399,0.009351980841188821,0.25,50
1,11,-0.010579305470614198,-0.0004110291011460487,0.00885800572758345,0.88,50
1,12,0.0012350137231899594,-0.0015433109751463348,0.009243012565843868,0.43,50
1,13,0.0040181203014199585,-0.0020333926000158627,0.00896844408934179,0.25,50
1,14,0.0100950895347387,-0.002183492951623957,0.009859830879989371,0.08,50
1,15,0.004990696797380012,-0.0003313850990274797,0.009415207041140222,0.26,50
1,16,-0.0032124069932607524,0.00041410903370869443,0.008283704608025933,0.69,50
1,17,0.006980588777389274,-0.0005967335915721594,0.009131327172751837,0.21,50
1,18,-0.008782232827569403,0.0004643727856512975,0.009738660935298387,0.85,50
1,19,0.0035137503053002672,3.898451724601848e-05,0.009118130062208669,0.39,50
1,20,-0.06000088655973135,-0.07421118026961074,0.003919378801211132,0.0,50
1,21,-0.07227661554276349,-0.0823077521781444,0.0040221241346867585,0.01,50
1,22,-0.015990094835346358,-0.01591128220128922,0.005892679912512842,0.52,50
1,23,-0.012670349019223592,-0.0031520234780957118,0.008743862800257301,0.88,50
1,24,-0.04680581185777649,-0.06368020062977207,0.004330867105782098,0.0,50
1,25,-0.034243243019475345,-0.048288960514973,0.005190526121891347,0.01,50
1,26,-0.09966732956019775,-0.10604533396487739,0.0030719123891090744,0.02,50
1,27,-0.10024430813277097,-0.10765485344846945,0.0028257982144336037,0.0,50
1,28,0.009894382417852843,-0.0017836275818688642,0.008592712086247916,0.08,50
1,29,-0.0069350933232739664,-0.0021720445444235324,0.00807563770350766,0.68,50
1,30,-0.0031189377404574614,-0.004541631560636903,0.00855409200427178,0.46,50
1,31,-0.04281833300191695,-0.05061025394945597,0.004846983632521902,0.06,50
1,32,-0.006843849260161461,-0.0026710240741337227,0.00779027799134199,0.74,50
1,33,-0.005023228410281799,-0.0036130711042188972,0.008586189152833653,0.57,50
1,34,-0.09033534785963004,-0.10293709540302139,0.003002519201548834,0.0,50
1,35,-0.03471340748999019,-0.04541220812200523,0.004947910225340209,0.01,50
2,0,-0.010361533119125299,-8.069530841762319e-05,0.008933256745043826,0.88,50
