Source,Target,InfoFlow,Error_InfoFlow,Tau,Error_Tau,R,Error_R
Var1,Var1,-inf,,,,1.0,0.0
Var1,Var2,inf,,,,0.0344796026170803,0.0033402290033413
Var1,Var3,-inf,,,,0.0797272136075189,0.0030478567022286
Var1,Var4,inf,,,,-0.1854072183994477,0.0027468421829416
Var1,Var5,inf,,,,0.036453756739766,0.0029934797357841
Var1,Var6,-inf,,,,0.0855151231579209,0.0026845417705759
Var1,Var7,-inf,,,,0.0107660043645707,0.0028086027430911
Var1,Var8,inf,,,,-0.1426730191965955,0.0028655397214155
Var1,Var9,inf,,,,0.368898761977306,0.0027931056624295
Var1,Var10,inf,,,,-0.2297280591710381,0.0031768417618445
Var1,Var11,inf,,,,0.6679157837716168,0.0016717090885122
Var1,Var12,inf,,,,0.0955317310908776,0.0032673095993645
Var1,Var13,-inf,,,,0.1030695068218856,0.0034385263876853
Var1,Var14,inf,,,,-0.1224862321243713,0.0032583790787183
Var1,Var15,inf,,,,-0.0774669063455785,0.0029935386516144
Var1,Var16,inf,,,,-0.0679669826731978,0.0026736945455527
Var1,Var17,-inf,,,,-0.0628305757286005,0.0028575767688302
Var1,Var18,-inf,,,,-0.1692852052719461,0.002645678369928
Var1,Var19,inf,,,,0.325892016490598,0.0029851440459609
Var1,Var20,inf,,,,-0.2483301770152739,0.0033458473102939
Var1,Var21,-inf,,,,0.0850485966211887,0.0027608024031673
Var1,Var22,,,,,0.025659686014752,0.0031484388958013
Var1,Var23,-inf,,,,-0.0406968457568654,0.0030503569313219
Var1,Var24,,,,,-0.0120625801663523,0.0032488053503932
Var1,Var25,inf,,,,-0.0249936449443508,0.0029145706310256
Var1,Var26,inf,,,,-0.0112242551587578,0.0032592317011738
Var1,Var27,,,,,0.0197295898734106,0.0030464769760985
Var1,Var28,,,,,0.038136921880055,0.0032619260860994
Var1,Var29,inf,,,,0.0302305613946477,0.0029320897092
Var1,Var30,-inf,,,,-0.0346128414227264,0.0033273785052364
Var1,Var31,-inf,,,,-0.0185759634702906,0.0029494196034753
Var1,Var32,-inf,,,,-0.0071859973076508,0.0032347557005243
Var1,Var33,-inf,,,,0.0820092096855749,0.0028155358755802
Var1,Var34,inf,,,,-0.0081912454656787,0.0031206226809861
Var1,Var35,inf,,,,0.0941482756175573,0.0027413697454616
Var1,Var36,-inf,,,,-0.0050412075939722,0.0024810108047412
Var2,Var1,inf,,,,0.0344796026170803,0.0033402290033413
Var2,Var2,inf,,,,1.0,0.0
Var2,Var3,inf,,,,0.0377028862348774,0.0032815774766579
Var2,Var4,-inf,,,,0.1638455103522515,0.0029916686226529
Var2,Var5,inf,,,,-0.300599032500934,0.0030003851827817
Var2,Var6,inf,,,,-0.0061006123951215,0.0030157582930765
Var2,Var7,inf,,,,-0.1048950322765537,0.0032569697789925
Var2,Var8,inf,,,,0.0422651783038041,0.0027990071228788
