Source,Target,InfoFlow,Error_InfoFlow,Tau,Error_Tau,R,Error_R
Var1,Var1,-0.7900506602952218,0.004465560625447061,33.61243504593696,0.30510437819674663,1.0,0.0
Var1,Var2,-2.6534757320268532e-05,6.718837017538383e-05,0.002236669226474555,0.0056587795696311045,-0.0015805304955308005,0.003081984079819596
Var1,Var3,6.914183327755138e-08,5.520488342781675e-05,6.188151770273161e-06,0.004929647365251456,6.314970094162931e-05,0.0032669138122244906
Var1,Var4,3.3208490436048135e-05,8.526078414435735e-05,0.002349824962243498,0.006023896856921788,0.002858351098016468,0.002937386181535868
Var1,Var5,0.014383901057783217,0.0027831439394855493,0.7444798882450833,0.14497590150265327,-0.19471961805758478,0.002889788579237385
Var1,Var6,0.00501036289395958,0.0005764845294290676,0.22754678509164736,0.02649029649730343,-0.059286771797680604,0.0023014831705455447
Var1,Var7,2.114519910593463e-05,7.677144862300038e-05,0.0012743585045837072,0.004613754949150941,-0.0013007303148050114,0.002783546486203723
Var1,Var8,5.402668596647015e-06,6.644376555294745e-05,0.0003429733266432594,0.0041752393210464,-0.0004853341429732706,0.0028525536870422016
Var1,Var9,-0.00014666093941138235,0.0002389271360985985,0.009499676025600905,0.015420838879483105,0.014265512679897103,0.002815971090981742
Var1,Var10,0.00047502554447724894,0.00025286413175749814,0.030705820598652917,0.016340855811093933,-0.012448214760385339,0.0028687616567157157
Var1,Var11,0.036151412701369894,0.0068263913534738945,1.4578315593365678,0.27591254631084133,0.9045509074924889,0.0006177714232544432
Var1,Var12,-0.00018511783331669567,0.000126770878536799,0.0094275098885576,0.00645799065668529,-0.006382513032034689,0.002837868700148288
Var1,Var13,-6.238560220166216e-05,0.00019930146938167853,0.003130278003049727,0.009981115431729406,0.011981419689053406,0.0034933822528784566
Var1,Var14,1.7227115589559483e-06,7.132929224216552e-05,0.00010593561824221175,0.004376924219899266,0.0012609163977766312,0.003150342895085916
Var1,Var15,0.08423186857812058,0.005895148716922919,3.279985933588012,0.23419056928206644,-0.421852336584365,0.002437130705207482
Var1,Var16,0.001102752399159399,0.0001756949074795731,0.07629774737572924,0.01212848091350599,-0.02527974500090029,0.002333987288979019
Var1,Var17,2.0162521397052992e-05,7.668471120974442e-05,0.0012666399970574823,0.004810892508307942,-0.0011545092038540894,0.0025959832485689892
Var1,Var18,-4.742518354922617e-06,4.93122215423066e-05,0.00029678749944807444,0.0030876508005016905,0.001255547021328379,0.0026828309563947357
Var1,Var19,0.002008528487644856,0.001036545552398832,0.1280225897694592,0.06540860651933848,-0.06388495521422546,0.002529392376510802
Var1,Var20,0.0025633994296040867,0.0009105515571216023,0.1682259585297606,0.05959515530573355,-0.042841917668429194,0.0025741289942650455
Var1,Var21,-3.1691739618220463e-06,3.5417562471078306e-06,0.4103871572609118,0.4447680344725038,0.053446453468064,0.002968123517774417
Var1,Var22,1.3397595519410134e-05,2.642096606504917e-06,1.1169043163467895,0.2032812242459119,0.32136925241700715,0.0028115424640196163
Var1,Var23,2.00904859974914e-05,1.885756179154733e-05,0.5534668402064017,0.5043778789427052,0.10467176846406354,0.003575710801013738
Var1,Var24,-1.1284160838375649e-06,9.069775405099142e-06,0.050397909110939214,0.4083467660780761,0.5393096861817428,0.0023523901584835446
Var1,Var25,-1.5284746237422584e-06,9.843888150188063e-07,0.17565920425001072,0.11291576390908235,0.0056880319311152965,0.0032255186171982714
Var1,Var26,2.0187444938194654e-05,4.61940641878737e-06,0.7855416440980617,0.18295898445835412,-0.22387170981604246,0.003065471073047562
Var1,Var27,9.66170892214275e-09,1.245315879824487e-08,0.0013120800510012373,0.001693676982516365,0.0488581218567497,0.0032101267783692625
Var1,Var28,-8.960689894345602e-08,5.540784895446847e-08,0.007361750393730325,0.0045519514884124115,0.25634744402508597,0.002855938138989638
Var1,Var29,-2.086494860056985e-05,2.4079237245821432e-05,0.5566630059289667,0.6286571160396304,0.06402913907997639,0.0035611870991980915
Var1,Var30,-0.00013141048604892465,4.119366365668401e-05,4.0371548819062735,1.1604826247295523,0.9153879868697596,0.000468550774807823
Var1,Var31,-2.7902163497477402e-05,3.6006429370025415e-05,0.9713186404484596,1.1813688889799177,0.08177872217401021,0.002426396948185664
Var1,Var32,-3.4253688206246594e-05,3.9566820160384855e-06,0.41755224797498036,0.051891634832425614,0.04139261380437759,0.0033354461818420286
Var1,Var33,1.1147345621239702e-06,1.826854239116825e-05,0.036302257977246455,0.5675164934884782,0.05738680209000805,0.0033649049362925914
Var1,Var34,-7.842320578427703e-06,1.6681418339835386e-06,0.22426749527880344,0.048048294420278304,0.03112200936248898,0.002415342556367093
Var1,Var35,5.829931759089084e-08,1.2330467057339992e-06,0.0017017094366878652,0.03542734711304548,-0.02553828612207552,0.003235340590479364
Var1,Var36,0.00012520341681435303,1.1656743532382114e-05,1.252087482661107,0.1252358946412856,0.03229003277669029,0.0030062391199610653
