File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
20s,0.02985001809661092,1.7347070162407796,0.03353592798153668,0.11883646707879582,"(False, 0.8900907144434754, 0.3734171784844835)","(True, 14.597430055628994, 0.0)"
30s,0.03718145239692683,1.074439611774098,0.02249045648315078,0.06838873127191948,"(False, 1.6532102149541577, 0.09828808826119739)","(True, 15.710769768516887, 0.0)"
40s,0.03718326349754719,0.7935617548625107,0.017777758091234278,0.050503114444059,"(False, 2.091560887864777, 0.036477814372161355)","(True, 15.713125093334959, 0.0)"
50s,0.030515157459237885,0.6563600103768858,0.016676929618969962,0.03616427061202546,"(False, 1.829782709194082, 0.0672824373427845)","(True, 18.149405456517925, 0.0)"
60s,0.030691965868232474,0.5659643219321664,0.012847597162728406,0.030494727186923795,"(False, 2.3889265424099357, 0.016897680566050788)","(True, 18.559415811886755, 0.0)"
70s,0.027429978481388784,0.5002869219875956,0.013711642099199868,0.024871670064634234,"(False, 2.00048821891212, 0.04544757080653117)","(True, 20.1147297582951, 0.0)"
80s,0.027743461413826637,0.4440064784147624,0.01237778271256956,0.023477915720920266,"(False, 2.2413918597596103, 0.02500070334074289)","(True, 18.911665059736343, 0.0)"
90s,0.03346838108519072,0.39514099912397005,0.010854559774328613,0.020206847706422282,"(True, 3.0833476235806936, 0.002046859026329395)","(True, 19.554806611344112, 0.0)"
100s,0.031470129688741924,0.36561539287351197,0.010410119282267196,0.017581693512153,"(True, 3.023032573925331, 0.002502553042444955)","(True, 20.79523184844438, 0.0)"
110s,0.02745521922588516,0.3360414362432731,0.009692997320543871,0.015987831620271013,"(True, 2.83247981176009, 0.004618848271080278)","(True, 21.018574890243734, 0.0)"
120s,0.02745521922588516,0.3360414362432731,0.010707431549948956,0.016782754527632164,"(False, 2.5641274565062284, 0.010343555325808662)","(True, 20.02302039811127, 0.0)"
130s,0.027955422975153507,0.31382526339311423,0.008321210802908442,0.014971941134948735,"(True, 3.3595378890512526, 0.0007807294472663706)","(True, 20.960893484984222, 0.0)"
140s,0.024354553940570872,0.2984130257666979,0.008284859313287235,0.014696114799720448,"(True, 2.939646048245032, 0.00328587372011957)","(True, 20.305572583876003, 0.0)"
150s,0.022646234211412555,0.28046418975853427,0.008422362521385843,0.014306045242171567,"(True, 2.688822067906698, 0.007170462833192337)","(True, 19.604592674695162, 0.0)"
160s,0.024278191124229798,0.26375304992948934,0.007612959173379834,0.0144618179778098,"(True, 3.189060990780449, 0.0014273575901619928)","(True, 18.237890307718697, 0.0)"
170s,0.023448056281848068,0.2475174653783515,0.00881573999570263,0.014887024503956316,"(True, 2.6597944464421808, 0.007818835351748321)","(True, 16.626389330693467, 0.0)"
180s,0.023667881122743865,0.2347002613351863,0.007698607686092258,0.011732896399206091,"(True, 3.07430669126062, 0.002109924078851577)","(True, 20.00360809041724, 0.0)"
190s,0.0228022646235094,0.22436803894092738,0.007509617886324452,0.010667409729037259,"(True, 3.036408106068079, 0.002394150742617507)","(True, 21.033038445142463, 0.0)"
200s,0.02220393978414091,0.21295601549344223,0.0069761726588120085,0.012457985596350196,"(True, 3.1828254359636334, 0.0014584551461489514)","(True, 17.09393656353494, 0.0)"
210s,0.020781074132686442,0.2077987693186295,0.006688703043993786,0.01098285354287769,"(True, 3.106891425139153, 0.001890658247952759)","(True, 18.920289568405078, 0.0)"
220s,0.018120225121070553,0.20135834283228493,0.006842571926703473,0.0117772816906406,"(True, 2.648159977735197, 0.008093121698868222)","(True, 17.097183214383357, 0.0)"
230s,0.018120225121070553,0.20135834283228493,0.00622335757836273,0.009900016774653944,"(True, 2.9116477549145916, 0.0035952782175225906)","(True, 20.339192085795574, 0.0)"
240s,0.019731698442601676,0.19247822633889433,0.005768524813177596,0.009777546212872247,"(True, 3.420579625058847, 0.0006248784011515518)","(True, 19.685739361220776, 0.0)"
250s,0.01939923325004779,0.18311105816749684,0.00591211603636623,0.010062273060087935,"(True, 3.2812673382458106, 0.0010334174355124404)","(True, 18.197782655472544, 0.0)"
260s,0.021298459779917338,0.17317724079715635,0.005990980727174346,0.009647996683317445,"(True, 3.5550873471033158, 0.00037785354171093744)","(True, 17.949554345991928, 0.0)"
270s,0.021057168683141787,0.16826260203199062,0.005275497492281073,0.00939624169322678,"(True, 3.991503875028263, 6.565561540972098e-05)","(True, 17.90743656086259, 0.0)"
280s,0.02235858737658363,0.16360910382545224,0.005483400995650498,0.008202335523584096,"(True, 4.0775036139648995, 4.552182257921977e-05)","(True, 19.94664853138823, 0.0)"
290s,0.0212307414241895,0.15849952942289797,0.005576582299768603,0.009682136900625206,"(True, 3.807124199542515, 0.00014059214797579322)","(True, 16.370304515386803, 0.0)"
300s,0.020365056436749268,0.15206905610965188,0.005439037269889183,0.008936007472794074,"(True, 3.7442391780419246, 0.0001809412282309797)","(True, 17.017561430273016, 0.0)"
310s,0.022222369148725524,0.14624254239232692,0.004909309967520755,0.007921661851059693,"(True, 4.526576911163753, 5.994678811127585e-06)","(True, 18.461093788390354, 0.0)"
320s,0.022783926821516344,0.14276260789032802,0.005683349730274244,0.008790218363716101,"(True, 4.008890514013279, 6.100469047765067e-05)","(True, 16.24107638549886, 0.0)"
330s,0.02299552370212566,0.13830726962123713,0.005354061435837037,0.008838651430775344,"(True, 4.294968217623863, 1.747183651357176e-05)","(True, 15.64800588692347, 0.0)"
340s,0.02299552370212566,0.13830726962123713,0.005202269920636813,0.008799572482436284,"(True, 4.420286538940441, 9.85701116062998e-06)","(True, 15.717498764547347, 0.0)"
350s,0.023029034960731786,0.13400161749696848,0.0048631446757843805,0.008571076890218238,"(True, 4.735420493534344, 2.18601390344908e-06)","(True, 15.634163502826366, 0.0)"
360s,0.022382673579670345,0.13004419241323917,0.005109012673171299,0.008113210359175945,"(True, 4.381017431647283, 1.1812641937058999e-05)","(True, 16.028697230333826, 0.0)"
370s,0.022290244414720384,0.12776355177115234,0.004343097230847463,0.006431318572819773,"(True, 5.132338335969263, 2.861644934348817e-07)","(True, 19.865840935187133, 0.0)"
380s,0.022630171074411773,0.12289253795053107,0.004133950384999381,0.007943110326772567,"(True, 5.4742241601467985, 4.394325370249419e-08)","(True, 15.471588948766948, 0.0)"
390s,0.02300866656768187,0.12240007062728347,0.004452018868798333,0.007593246426553153,"(True, 5.168142194754951, 2.36432403655229e-07)","(True, 16.1195967773754, 0.0)"
400s,0.021654435562142485,0.11937102524719889,0.004231681241040906,0.006876561070655358,"(True, 5.117218034318658, 3.1007510692404594e-07)","(True, 17.359116573049274, 0.0)"
410s,0.020915683438958676,0.1168966319559539,0.005288380212805473,0.007639453684585279,"(True, 3.95502641589814, 7.652619586218101e-05)","(True, 15.301700459527014, 0.0)"
420s,0.02081635697021901,0.11419926716337075,0.004560287434621308,0.006826405826434926,"(True, 4.5647028325852945, 5.0020237680747925e-06)","(True, 16.72904747636591, 0.0)"
430s,0.020552156100193987,0.11178748065885968,0.004279571434167938,0.007044858493987242,"(True, 4.802386504430407, 1.567856887429997e-06)","(True, 15.867952600363775, 0.0)"
440s,0.019488080572461732,0.11242350654126426,0.0039770476272768295,0.006174619417302802,"(True, 4.900137589200972, 9.576956301327044e-07)","(True, 18.207358048048427, 0.0)"
450s,0.019488080572461732,0.11242350654126426,0.003763060520061924,0.007295616958696951,"(True, 5.17878478662922, 2.233359353009945e-07)","(True, 15.409732607637325, 0.0)"
460s,0.01921911159764448,0.10882017446359893,0.004240721235589997,0.007198344520161809,"(True, 4.53203842694239, 5.841721962829283e-06)","(True, 15.117389027269397, 0.0)"
470s,0.01894506288212994,0.10700653996155757,0.0038943101953388174,0.006641141151000851,"(True, 4.86480581459733, 1.1456923467711988e-06)","(True, 16.112673639745058, 0.0)"
480s,0.018779231196070223,0.10546499576358251,0.003952421153768698,0.0069476287360453895,"(True, 4.751323420623817, 2.0208959363721135e-06)","(True, 15.17999878381721, 0.0)"
490s,0.018832499731745316,0.10372416356743289,0.004018246266726224,0.006306661043690523,"(True, 4.686746028408227, 2.7758307907799207e-06)","(True, 16.44676364384659, 0.0)"
500s,0.019387030755570172,0.10150711454753109,0.00415892785926583,0.0067119417709542595,"(True, 4.661545333703513, 3.138439176098018e-06)","(True, 15.12336042407285, 0.0)"
510s,0.019380246327149735,0.09917037720024416,0.0039169275432007255,0.005906456985511216,"(True, 4.947818440193338, 7.504986150319581e-07)","(True, 16.790163281221417, 0.0)"
520s,0.019242069622673306,0.09866415987274488,0.004131199305389611,0.006938809003577419,"(True, 4.657744204587244, 3.196930892457317e-06)","(True, 14.219177934120527, 0.0)"
530s,0.019858157394605114,0.0954493690057473,0.004393913453024719,0.005981732467805907,"(True, 4.519469399410903, 6.199480706348126e-06)","(True, 15.956810091300861, 0.0)"
540s,0.019450700373351525,0.09566171761724887,0.0038820365711864898,0.005679712302743362,"(True, 5.010437180762234, 5.430652376681167e-07)","(True, 16.842704791762646, 0.0)"
550s,0.01945028425704405,0.09316152957867205,0.0036057806275130717,0.006449146933170192,"(True, 5.3941951178707805, 6.883139080926526e-08)","(True, 14.445558543488922, 0.0)"
560s,0.01945028425704405,0.09316152957867205,0.003962047167938397,0.006611908038963137,"(True, 4.9091501016038555, 9.147194723890806e-07)","(True, 14.089961480057337, 0.0)"
570s,0.01919052520069267,0.09213678794614838,0.0035925796459894545,0.006468730283832545,"(True, 5.341711831529149, 9.207293949486939e-08)","(True, 14.243411597547682, 0.0)"
580s,0.019355478587647724,0.09053081539458799,0.0037998256214993613,0.005579193291918412,"(True, 5.093780745657035, 3.5099265871529894e-07)","(True, 16.226506352759625, 0.0)"
590s,0.019731533089625334,0.08932360762843419,0.0034909050287938387,0.005334150476794793,"(True, 5.652268660096686, 1.5834383582102873e-08)","(True, 16.745610761642283, 0.0)"
600s,0.020306129109507968,0.08704698874092393,0.0033842860421949175,0.005889221234992269,"(True, 6.000121992152352, 1.971693475155689e-09)","(True, 14.780729958608559, 0.0)"
