File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
3s,0.023576446786140903,1.763041991330395,0.03332342113931123,0.1552288354432393,"(False, 0.707503791029669, 0.47925345763253335)","(True, 11.35769643762525, 0.0)"
4s,0.023576446786140903,1.763041991330395,0.032694105499479965,0.1477447820134288,"(False, 0.7211222459203208, 0.47083430514365476)","(True, 11.93302374069731, 0.0)"
5s,0.023576446786140903,1.763041991330395,0.03170577491587772,0.1635569182023452,"(False, 0.7436010269010714, 0.4571178817984165)","(True, 10.779378889673376, 0.0)"
6s,0.023576446786140903,1.763041991330395,0.03067846413935577,0.1688557372725134,"(False, 0.7685015351174616, 0.4421892789982449)","(True, 10.441113934346522, 0.0)"
7s,0.023576446786140903,1.763041991330395,0.03518617258119201,0.1600665414847455,"(False, 0.6700486315110945, 0.5028267893583149)","(True, 11.014431716814563, 0.0)"
8s,0.023576446786140903,1.763041991330395,0.03152166885500953,0.14000826692159613,"(False, 0.7479441172542505, 0.45449386547581083)","(True, 12.592413505965965, 0.0)"
9s,0.023576446786140903,1.763041991330395,0.035692359220836224,0.1371384018771954,"(False, 0.660546046851888, 0.5089034791555218)","(True, 12.85593216194223, 0.0)"
10s,0.023576446786140903,1.763041991330395,0.033968468862970516,0.12638958439376022,"(False, 0.6940685752204129, 0.4876392047068432)","(True, 13.949266466750368, 0.0)"
11s,0.023576446786140903,1.763041991330395,0.03360339164508929,0.1563539948276744,"(False, 0.7016091421708113, 0.48292294869444996)","(True, 11.27596383625204, 0.0)"
12s,0.023576446786140903,1.763041991330395,0.028798249878801613,0.1522063866411597,"(False, 0.8186763739242197, 0.412971079703949)","(True, 11.583232676608542, 0.0)"
13s,0.023576446786140903,1.763041991330395,0.0340475301029441,0.16445033663348063,"(False, 0.6924568893795395, 0.48865045018762654)","(True, 10.720817162325318, 0.0)"
14s,0.023576446786140903,1.763041991330395,0.03262820639698373,0.13668384658072943,"(False, 0.7225786946205046, 0.4699387615431221)","(True, 12.898685802561836, 0.0)"
15s,0.023576446786140903,1.763041991330395,0.03841506346932277,0.15193722506944451,"(False, 0.6137292160136197, 0.5393942787681718)","(True, 11.603752737517603, 0.0)"
16s,0.023576446786140903,1.763041991330395,0.03200454322918256,0.14682647834955898,"(False, 0.7366593741804538, 0.46132951822847956)","(True, 12.00765700538707, 0.0)"
17s,0.023576446786140903,1.763041991330395,0.02745019623087887,0.15676593263667377,"(False, 0.8588808104628277, 0.3904062774893391)","(True, 11.246333700680255, 0.0)"
18s,0.023576446786140903,1.763041991330395,0.02929574156370793,0.16504353671741556,"(False, 0.8047738520245485, 0.4209501932921822)","(True, 10.682284362028925, 0.0)"
19s,0.023576446786140903,1.763041991330395,0.03369803144181105,0.15818250223778746,"(False, 0.6996386963093718, 0.48415296997393664)","(True, 11.145619562144152, 0.0)"
20s,0.023576446786140903,1.763041991330395,0.032532947273888724,0.16192579953653335,"(False, 0.7246944639738682, 0.4686394921309338)","(True, 10.88796224182065, 0.0)"
21s,0.023576446786140903,1.763041991330395,0.038301515981645114,0.1475817844218298,"(False, 0.615548658633753, 0.5381924453354501)","(True, 11.946203240713844, 0.0)"
22s,0.03574224433558337,1.0995095374505395,0.023866886474786787,0.07693158272290519,"(False, 1.4975662775847127, 0.1342459737667041)","(True, 14.292043638446781, 0.0)"
23s,0.03574224433558337,1.0995095374505395,0.025024085993113853,0.07648987426673093,"(False, 1.428313679285587, 0.15320159226076346)","(True, 14.374576347405087, 0.0)"
24s,0.03574224433558337,1.0995095374505395,0.023119008012221977,0.08149984794289573,"(False, 1.5460111574289026, 0.1221018732271324)","(True, 13.490939740414358, 0.0)"
25s,0.03574224433558337,1.0995095374505395,0.02595258914156465,0.08178793948920576,"(False, 1.3772130457049465, 0.1684463896243238)","(True, 13.44341897249595, 0.0)"
26s,0.03574224433558337,1.0995095374505395,0.025729772944048525,0.08663839995783822,"(False, 1.3891395160504438, 0.16479032958348894)","(True, 12.690787664426002, 0.0)"
27s,0.03574224433558337,1.0995095374505395,0.021430046458232817,0.08293461415113458,"(False, 1.667856595889563, 0.09534419769208236)","(True, 13.257546908542501, 0.0)"
28s,0.03574224433558337,1.0995095374505395,0.02653589981500174,0.07049493417132106,"(False, 1.3469392251540284, 0.17799980705193796)","(True, 15.597000697645091, 0.0)"
29s,0.03574224433558337,1.0995095374505395,0.028930109230699982,0.08442297664612455,"(False, 1.2354686963177623, 0.21665611979272192)","(True, 13.023818646662379, 0.0)"
30s,0.03574224433558337,1.0995095374505395,0.0236111273666551,0.07716261361408928,"(False, 1.5137881296621392, 0.13007958421423882)","(True, 14.24925214365442, 0.0)"
31s,0.03574224433558337,1.0995095374505395,0.02750795629086388,0.08096030654219731,"(False, 1.2993420506289781, 0.19382656933766151)","(True, 13.580847015166182, 0.0)"
32s,0.03574224433558337,1.0995095374505395,0.024103120351808872,0.08296904937778257,"(False, 1.4828886805479946, 0.13810398935804136)","(True, 13.252044535838275, 0.0)"
33s,0.029292148206278512,0.8288075399751635,0.020846753422787682,0.05561448587337744,"(False, 1.4051179870655126, 0.15998619626904986)","(True, 14.902727714901205, 0.0)"
34s,0.029292148206278512,0.8288075399751635,0.019174783048945203,0.05297949916586004,"(False, 1.5276390940908122, 0.12660216971077176)","(True, 15.643929312741534, 0.0)"
35s,0.029292148206278512,0.8288075399751635,0.019642867750437894,0.05598222471228384,"(False, 1.4912358306554045, 0.13589958957605108)","(True, 14.804833931390785, 0.0)"
36s,0.029292148206278512,0.8288075399751635,0.0192580416024584,0.05649838257394017,"(False, 1.5210346311921563, 0.12825114694027562)","(True, 14.669579945770877, 0.0)"
