i,TE,err TE,p-value
3,0.023576446786140903,0.03332342113931123,0.47925345763253335
4,0.023576446786140903,0.032694105499479965,0.47083430514365476
5,0.023576446786140903,0.03170577491587772,0.4571178817984165
6,0.023576446786140903,0.03067846413935577,0.4421892789982449
7,0.023576446786140903,0.03518617258119201,0.5028267893583149
8,0.023576446786140903,0.03152166885500953,0.45449386547581083
9,0.023576446786140903,0.035692359220836224,0.5089034791555218
10,0.023576446786140903,0.033968468862970516,0.4876392047068432
11,0.023576446786140903,0.03360339164508929,0.48292294869444996
12,0.023576446786140903,0.028798249878801613,0.412971079703949
13,0.023576446786140903,0.0340475301029441,0.48865045018762654
14,0.023576446786140903,0.03262820639698373,0.4699387615431221
15,0.023576446786140903,0.03841506346932277,0.5393942787681718
16,0.023576446786140903,0.03200454322918256,0.46132951822847956
17,0.023576446786140903,0.02745019623087887,0.3904062774893391
18,0.023576446786140903,0.02929574156370793,0.4209501932921822
19,0.023576446786140903,0.03369803144181105,0.48415296997393664
20,0.023576446786140903,0.032532947273888724,0.4686394921309338
21,0.023576446786140903,0.038301515981645114,0.5381924453354501
22,0.03574224433558337,0.023866886474786787,0.1342459737667041
23,0.03574224433558337,0.025024085993113853,0.15320159226076346
24,0.03574224433558337,0.023119008012221977,0.1221018732271324
25,0.03574224433558337,0.02595258914156465,0.1684463896243238
26,0.03574224433558337,0.025729772944048525,0.16479032958348894
27,0.03574224433558337,0.021430046458232817,0.09534419769208236
28,0.03574224433558337,0.02653589981500174,0.17799980705193796
29,0.03574224433558337,0.028930109230699982,0.21665611979272192
30,0.03574224433558337,0.0236111273666551,0.13007958421423882
31,0.03574224433558337,0.02750795629086388,0.19382656933766151
32,0.03574224433558337,0.024103120351808872,0.13810398935804136
33,0.029292148206278512,0.020846753422787682,0.15998619626904986
34,0.029292148206278512,0.019174783048945203,0.12660216971077176
35,0.029292148206278512,0.019642867750437894,0.13589958957605108
36,0.029292148206278512,0.0192580416024584,0.12825114694027562
37,0.029292148206278512,0.021578498840436434,0.1746321639341626
38,0.029292148206278512,0.021856943019969127,0.18018816594134024
39,0.029292148206278512,0.0198378878115885,0.13978934019461442
40,0.029292148206278512,0.021365660837631098,0.17037747728880026
41,0.01700362873947156,0.01967157965268537,0.38738172419287187
42,0.01700362873947156,0.016540449153474798,0.30394849078139363
43,0.01700362873947156,0.016416673668613758,0.30031711265176586
44,0.01700362873947156,0.01931604044657243,0.37870471004134965
45,0.01700362873947156,0.017572219131992764,0.33322286762352027
46,0.01700362873947156,0.018857814925783114,0.36722929850801944
47,0.022241755980379585,0.014516541237796938,0.1254813903769827
48,0.022241755980379585,0.015084998804489687,0.14036618748348828
49,0.022241755980379585,0.015566213427133298,0.1530478695053601
50,0.022241755980379585,0.014810735357991794,0.13316632302193376
51,0.014695912830024083,0.01235421723401021,0.23422478103469602
52,0.014695912830024083,0.013040077762360965,0.2597507427525074
53,0.014695912830024083,0.01433726589079036,0.3053561023721634
54,0.014695912830024083,0.014784798950837692,0.3202287066471041
55,0.014695912830024083,0.01467190348909789,0.3165192261865595
56,0.016287911690479828,0.013664748287068583,0.23327468234678328
57,0.016287911690479828,0.012430342370558565,0.19008255877573177
58,0.016287911690479828,0.013927874847786318,0.242223576270987
59,0.024053648798360916,0.013764607420941143,0.08055067852149933
60,0.024053648798360916,0.011181309434303798,0.03145748223522005
61,0.024053648798360916,0.01156127646868736,0.03747642176591737
62,0.020453886754647765,0.011432604193282502,0.0736013235391364
63,0.020453886754647765,0.010551021591579762,0.05255380233038487
