i,TE,err TE,p-value
3,-0.11597895326791274,0.024733190645870234,2.742711169512191e-06
4,-0.11597895326791274,0.02184492711603058,1.101111566370605e-07
5,-0.11597895326791274,0.026982858343507353,1.721553125477726e-05
6,-0.11597895326791274,0.026770864803466774,1.4757131571618842e-05
7,-0.11597895326791274,0.026462316009025322,1.171653983744747e-05
8,-0.11597895326791274,0.02320965882016315,5.822532143096026e-07
9,-0.11597895326791274,0.030065610570965875,0.00011453927096272132
10,-0.11597895326791274,0.025818291261377045,7.0516504624418275e-06
11,-0.11597895326791274,0.028891720567974302,5.9631928496006736e-05
12,-0.11597895326791274,0.027394589875338167,2.299343786571484e-05
13,-0.11597895326791274,0.025234487318939704,4.305764141676605e-06
14,-0.11597895326791274,0.023726647322342483,1.0179793958897676e-06
15,-0.11597895326791274,0.022594461343298358,2.8505372129394857e-07
16,-0.11597895326791274,0.025503843462406403,5.428464424195312e-06
17,-0.11597895326791274,0.02530307915430961,4.570589259955682e-06
18,-0.11597895326791274,0.024713597239588953,2.6933184735788984e-06
19,-0.11597895326791274,0.025349210622450845,4.756536802874578e-06
20,-0.11597895326791274,0.026977936438824467,1.715473916652499e-05
21,-0.11597895326791274,0.027934007049486842,3.2973927147628146e-05
22,0.08576401236456199,0.01802189077675651,1.9467029277464576e-06
23,0.08576401236456199,0.022546707774422442,0.00014247166328140715
24,0.08576401236456199,0.01934140933487582,9.240737577353997e-06
25,0.08576401236456199,0.019019585430448745,6.505806686041282e-06
26,0.08576401236456199,0.020551260968348334,3.003837883874816e-05
27,0.08576401236456199,0.020263785696228057,2.3123276164493944e-05
28,0.08576401236456199,0.022670125068811522,0.00015486896560901187
29,0.08576401236456199,0.020828207389919882,3.826960790820344e-05
30,0.08576401236456199,0.020566151373388828,3.0439426773609668e-05
31,0.08576401236456199,0.02145567690061107,6.407872913083423e-05
32,0.08576401236456199,0.01987595284192961,1.596292278160938e-05
33,0.07937666133933607,0.018314835699175847,1.4641823610217486e-05
34,0.07937666133933607,0.01925569872681504,3.752017729330426e-05
35,0.07937666133933607,0.016355688014805667,1.215136823606855e-06
36,0.07937666133933607,0.01624631213258607,1.0299590105233847e-06
37,0.07937666133933607,0.01661076958893537,1.7649683325959842e-06
38,0.07937666133933607,0.01818950700663687,1.2778097087551288e-05
39,0.07937666133933607,0.01729825161107111,4.459933536038463e-06
40,0.07937666133933607,0.01778867961774442,8.112213389921408e-06
41,0.055184212530621446,0.01748364399932692,0.0015976603252272348
42,0.055184212530621446,0.017251731622204336,0.0013801825424102354
43,0.055184212530621446,0.016204182586001245,0.000660300474107034
44,0.055184212530621446,0.015558273657481034,0.00038973815472376216
45,0.055184212530621446,0.015245556433976059,0.0002949543459564996
46,0.055184212530621446,0.014656131882183104,0.0001663728941081466
47,0.0383266942425422,0.01638145519358362,0.01930237851610883
48,0.0383266942425422,0.013181833999493043,0.0036428511197197366
49,0.0383266942425422,0.015396770900893487,0.012800631247407823
50,0.0383266942425422,0.014731755860683914,0.009277975838059893
51,0.020388467494270757,0.012152648734176657,0.09340618229872222
52,0.020388467494270757,0.013566698630961847,0.1328823973174571
53,0.020388467494270757,0.015272813891027501,0.18189218457516665
54,0.020388467494270757,0.0131950500933026,0.12230749564561583
55,0.020388467494270757,0.014369228144238234,0.15592878756501394
56,0.016804594941204065,0.010757701597353899,0.1182646677061312
57,0.016804594941204065,0.011723082673468173,0.15172581678995356
58,0.016804594941204065,0.013826691361699959,0.22422365200912298
59,0.018691691128293608,0.011980143409079538,0.11870727426782635
60,0.018691691128293608,0.011333233487373775,0.09908999953374509
61,0.018691691128293608,0.012415806379661543,0.1322018957015354
62,0.021221998368733397,0.010986186148798704,0.053396740552107635
63,0.021221998368733397,0.011994197831599556,0.07683458820926048
64,0.021221998368733397,0.010646624877646843,0.04622777382293175
65,0.019378138874468875,0.010816267056489444,0.07320128974994633
66,0.019378138874468875,0.010800830104345295,0.07279174858528181
67,0.019378138874468875,0.009341488307970923,0.03804063238535793
68,0.01757079847446741,0.011533669988565807,0.1276498691747161
69,0.01757079847446741,0.010048385539623297,0.08035688945382091
70,0.02285725925852078,0.009744556195364597,0.01899424253126636
71,0.02285725925852078,0.009388272127946552,0.014905750374618831
72,0.021200598665434223,0.010038553523209709,0.03469351067237225
73,0.021200598665434223,0.010753272763816643,0.04866117250973989
74,0.01935452338195831,0.008453358502312412,0.022046479813515596
75,0.01935452338195831,0.008886112987258934,0.029401267416288235
76,0.021144245805572726,0.008572515409024617,0.01364346600993005
77,0.021144245805572726,0.009046978039181657,0.019430805205856494
78,0.018521057689534715,0.00701114716114424,0.008250115302482985
79,0.018521057689534715,0.008211222973259723,0.024097043299967646
80,0.01716759294290593,0.008892112337194433,0.05352584549660855
81,0.01576855001762284,0.00831526458196953,0.05791539931101042
82,0.01576855001762284,0.007882732944905936,0.04545803237435164
83,0.01441561995489754,0.008409240259085658,0.08648107868898913
84,0.014136609149793922,0.007917016910430515,0.07416437939374365
85,0.013871980820640561,0.008433982732716902,0.10001678526424262
86,0.013871980820640561,0.007413675334162034,0.061326494330888215
87,0.012282395660393297,0.00641636609141765,0.05559086971508176
88,0.012117305190401217,0.007869723488001272,0.12362445056103066
89,0.012027381719719121,0.007186865154966074,0.09422444870640234
90,0.013797707219646349,0.007628581419689454,0.07049982352821904
91,0.014280491348989455,0.00676106679427357,0.034672265107300815
92,0.012966639910209965,0.006738933813766811,0.05433726425506169
93,0.01501328523488793,0.0070238651089849485,0.0325599650964421
94,0.015226673359823695,0.006177874334093121,0.013712389205640774
