i,TE,err TE,p-value
3,0.04991496940074924,0.060079549152340525,0.4060783471546201
4,0.04991496940074924,0.059252430074966236,0.39955727188631274
5,0.04991496940074924,0.05644501485829491,0.3765281427999181
6,0.04991496940074924,0.05854295849546168,0.3938693844111314
7,0.04991496940074924,0.05681550790046616,0.3796481331631081
8,0.04991496940074924,0.05254704025740805,0.3421578847261504
9,0.04991496940074924,0.05912196225378603,0.3985178815733752
10,0.04991496940074924,0.059310324693745746,0.40001755245553916
11,0.04991496940074924,0.05168462777032163,0.33416406284140043
12,0.04991496940074924,0.058778056801904864,0.39576392181590303
13,0.04991496940074924,0.05849290292302008,0.39346475975775097
14,0.04991496940074924,0.05800677256364545,0.3895121383847546
15,0.04991496940074924,0.0536160493113944,0.35186873569577304
16,0.04991496940074924,0.05895098895493347,0.3971513214350604
17,0.04991496940074924,0.05747541225142517,0.38514377109127684
18,0.04991496940074924,0.06168469240854354,0.41840275994788856
19,0.04991496940074924,0.05961644797074576,0.402441704251181
20,0.04991496940074924,0.06182352033296184,0.4194485590186914
21,0.04991496940074924,0.062030989853350774,0.421005550276786
22,-0.050929439173026836,0.03481851066371173,0.14354631281415675
23,-0.050929439173026836,0.0325522905802197,0.11769024128507866
24,-0.050929439173026836,0.032457362336773626,0.11662039107213995
25,-0.050929439173026836,0.034684163143349184,0.14200175363350742
26,-0.050929439173026836,0.03376114961584922,0.13142096348804921
27,-0.050929439173026836,0.03320162824641056,0.1250434246821679
28,-0.050929439173026836,0.03616929668052588,0.15910594259137967
29,-0.050929439173026836,0.03517557305352324,0.14765514304078442
30,-0.050929439173026836,0.03307412067376846,0.12359504517258335
31,-0.050929439173026836,0.037313945445304635,0.17228755687262143
32,-0.050929439173026836,0.03275303565703475,0.11995720431237755
33,-0.040351771444218976,0.02889378355890798,0.16254728934955187
34,-0.040351771444218976,0.02638900046878947,0.12623636015122797
35,-0.040351771444218976,0.025364219439583606,0.11163354914696377
36,-0.040351771444218976,0.026417175441152428,0.12664109194503226
37,-0.040351771444218976,0.027387374290167747,0.14065094285437207
38,-0.040351771444218976,0.02691919058930808,0.13387454999089732
39,-0.040351771444218976,0.027067490075502982,0.13601830774110035
40,-0.040351771444218976,0.02476083409192818,0.10317311480330482
41,-0.020232088480351962,0.022889827714469024,0.3767556274956827
42,-0.020232088480351962,0.024066330559153214,0.4005270949794215
43,-0.020232088480351962,0.023161630392177158,0.3823810953116902
44,-0.020232088480351962,0.02173840384281155,0.3520050559869006
45,-0.020232088480351962,0.02348370313771382,0.3889421333353218
46,-0.020232088480351962,0.021294417362515635,0.3420551791351052
47,-0.0027643605390408332,0.022168209373205006,0.9007615991686722
48,-0.0027643605390408332,0.01857170752922581,0.881673615746855
49,-0.0027643605390408332,0.019331904502587413,0.8862943402370773
50,-0.0027643605390408332,0.019771296390158916,0.8888046934069809
51,0.0072635355847783245,0.016708229080723985,0.6637598470097821
52,0.0072635355847783245,0.019412510319542123,0.7082795053800062
53,0.0072635355847783245,0.019039774683216267,0.7028376661801372
54,0.0072635355847783245,0.016494894157403735,0.6596832398306272
55,0.0072635355847783245,0.017081048777241387,0.6706621371162687
56,0.011081647738522715,0.016175346292850046,0.4932840192714376
57,0.011081647738522715,0.013438189584752966,0.4095768890757423
58,0.011081647738522715,0.015433446667259166,0.4727399867576054
59,0.010678071304350834,0.014061772586146519,0.4476319748747515
60,0.010678071304350834,0.013898646988967823,0.44232005081647907
61,0.010678071304350834,0.016618636996284294,0.5205252708907533
62,0.005785989144737158,0.01201451278613596,0.6301019665074141
63,0.005785989144737158,0.013397992415155323,0.6658468497114127
64,0.005785989144737158,0.0146261480198966,0.6924059390016137
65,0.0064786290832099525,0.012465723200681691,0.6032619090030351
66,0.0064786290832099525,0.01259365675295951,0.6069472686276747
67,0.0064786290832099525,0.012476529737278887,0.6035757407221578
68,0.008065217158357951,0.013853345108812525,0.5604417143651477
69,0.008065217158357951,0.011596769964743795,0.48676018152995626
70,0.00557984379409926,0.011077840202509829,0.6144762888471407
