i,TE,err TE,p-value
0,0.023576446786140903,0.033442037470730004,0.4808137649814177
1,0.023576446786140903,0.032660335547666716,0.47037571824717483
2,0.040419658555411964,0.03495924024007954,0.24760187494325336
3,0.040419658555411964,0.03125686598471402,0.1959609294133986
4,0.040419658555411964,0.030312886643408588,0.1823956438144354
5,0.040419658555411964,0.03295017652331294,0.21993905330737373
6,0.040419658555411964,0.03406712526733149,0.23543631988256997
7,0.040419658555411964,0.03349090101289497,0.22747652156809162
8,0.040419658555411964,0.034464985070649594,0.24088621258582932
9,0.040419658555411964,0.03163252926245659,0.20132427303470846
10,0.040419658555411964,0.03192409376147582,0.20547096464342074
11,0.027471691907276274,0.036047228287696215,0.44599868004429943
12,0.027471691907276274,0.033387378925615795,0.41061225615740815
13,0.027471691907276274,0.030550209341216744,0.3685296904901789
14,0.027471691907276274,0.0329534987756352,0.4044781103931019
15,0.027471691907276274,0.03479013286114289,0.42973784960912376
16,0.027471691907276274,0.029097951716597136,0.3451130057692864
17,0.024507494676264674,0.032599865234214834,0.45219134198898026
18,0.024507494676264674,0.03290027715838787,0.4563307377570669
19,0.024507494676264674,0.03596469339666179,0.4955981500999762
20,0.02472301718243408,0.03027497194028984,0.4141480842506884
21,0.02472301718243408,0.03286538630695234,0.4519001752599785
22,0.02472301718243408,0.03582215355833943,0.4900935803439206
23,0.023904408825119572,0.03354378282424481,0.47607284450680365
24,0.023904408825119572,0.031195971407043322,0.44351810928637825
25,0.023904408825119572,0.035355959172674124,0.4989727604637746
26,0.02447823830931284,0.031236478767054782,0.4332497979219978
27,0.02447823830931284,0.0357403054713757,0.49341226857395704
28,0.024607401797783535,0.03157093295298693,0.4357251606559043
29,0.024607401797783535,0.030459885684843726,0.41916969561520356
30,0.024097469111771352,0.03679083421839442,0.5124769818915085
31,0.023230321492510142,0.03541458428610703,0.5118540258658557
32,0.023230321492510142,0.033246504853063664,0.4847209481369559
33,0.023764295421219717,0.03296682839654715,0.4709988749891494
34,0.024117671894469894,0.03767442926684857,0.5220684250957344
35,0.02360107397239719,0.03303694154764837,0.47498954733265286
36,0.023497910443015635,0.031342323646130356,0.45342444422103645
37,0.02393999531320201,0.03607212177894012,0.5069013623641598
38,0.023861138868286225,0.030894371770208602,0.4399096346959279
39,0.02422478695055541,0.02975576147398866,0.4155757008436587
40,0.024248404288760406,0.033529658843547146,0.4695615071430155
41,0.024736505046848878,0.032230943605585614,0.4427980156325897
42,0.02484113712773084,0.032147058445752,0.4396795982641306
43,0.024845759145033064,0.035461239030609305,0.4835242476513446
44,0.02524956901662523,0.030198330313772264,0.4030847701814364
45,0.024635211338952523,0.03397898186399344,0.4684439150750548
46,0.024659497537657393,0.028790462360562413,0.39171231369430703
47,0.025784540182472226,0.03109633337724568,0.40700105983427814
48,0.025577459417570614,0.027403897877166534,0.3506386970086366
49,0.024542684574791473,0.033299986143198096,0.46111148743189134
50,0.02462967057211396,0.03773009618473922,0.5138943870584081
51,0.023812944519093104,0.03654806128737071,0.5146905375017452
52,0.023749190440742196,0.031358752195139436,0.448847089136001
53,0.024241283332849584,0.031189398461609577,0.43702408482524335
54,0.0235277312281732,0.03280987012120831,0.4733166576383656
55,0.02395297709782307,0.02918726382158171,0.4118368928934857
56,0.02502508620540933,0.0278319356829951,0.36857274497760284
