i,TE,err TE,p-value
neg0,-0.11597895326791274,0.028088460679819193,3.642485701638165e-05
neg1,-0.11597895326791274,0.024763529770178917,2.8207518092404626e-06
neg2,0.07423317365637683,0.023630261922757623,0.0016811624786843282
neg3,0.07423317365637683,0.02263556152797559,0.0010399365859750098
neg4,0.07423317365637683,0.02691282016128472,0.005810587403775713
neg5,0.07423317365637683,0.02686452187910792,0.005723032691953511
neg6,0.07423317365637683,0.026722091081684593,0.005469962859430577
neg7,0.07423317365637683,0.02319320323879854,0.0013712110262360522
neg8,0.07423317365637683,0.02652465774396909,0.0051317086065496564
neg9,0.07423317365637683,0.025037824927200063,0.003028392582472117
neg10,0.07423317365637683,0.02247569983295665,0.0009571806961210516
neg11,0.024481912975738096,0.02746482075571763,0.3727190745411155
neg12,0.024481912975738096,0.025683145210089898,0.3404741713655066
neg13,0.024481912975738096,0.027152169642643484,0.3672397054712544
neg14,0.024481912975738096,0.026582626087386957,0.35706389359620294
neg15,0.024481912975738096,0.02475729245486846,0.322723406208534
neg16,0.024481912975738096,0.025211190735635238,0.33151180242006606
neg17,0.015570055739525746,0.02211700598234972,0.48144168467415227
neg18,0.015570055739525746,0.0265730306935005,0.5579195247717497
neg19,0.015570055739525746,0.027841849808449365,0.5760033381272438
neg20,0.015570055739525746,0.023846424570841206,0.51380114393783
neg21,0.013816789084489578,0.023329882183462755,0.5536927671858916
neg22,0.013816789084489578,0.0233992322430496,0.5548685916701614
neg23,0.013816789084489578,0.024169915106061965,0.5675575132547275
neg24,0.014346040952200712,0.02285731709968666,0.530243398017487
neg25,0.014346040952200712,0.025001034738547593,0.5660910426246155
neg26,0.013435471089397799,0.024619251595227154,0.5852513538112882
neg27,0.013435471089397799,0.023706781362270876,0.5708939983749706
neg28,0.013427659200693887,0.02607635552306812,0.6065976095451173
neg29,0.013427659200693887,0.026988990952164085,0.6188198840774743
neg30,0.014008347717041403,0.02371813696749332,0.5547767096048539
neg31,0.014008347717041403,0.026457176843896844,0.5964777124019631
neg32,0.014279962547452119,0.021081373703692605,0.4981690479629042
neg33,0.014902021530444065,0.024078856864324292,0.5359927172835737
