i,TE,err TE,p-value
neg0,0.04991496940074924,0.057679347411623345,0.3868262998338099
neg1,0.04991496940074924,0.05893610982145558,0.39703215435088124
neg2,0.047969808551215465,0.05649117993121957,0.3957946489834838
neg3,0.047969808551215465,0.06350222640200968,0.450006871613007
neg4,0.047969808551215465,0.05289312270602363,0.3644493268980753
neg5,0.047969808551215465,0.05844583505156823,0.4117848879938677
neg6,0.047969808551215465,0.06080811331135193,0.4301869128020359
neg7,0.047969808551215465,0.05721446418923586,0.40179429663594224
neg8,0.047969808551215465,0.05755901825750498,0.4046179725251471
neg9,0.047969808551215465,0.05390896826434315,0.37355726176018833
neg10,0.047969808551215465,0.05367369991696521,0.3714662431571769
neg11,0.0426982198419239,0.05472261231821421,0.43523404133193333
neg12,0.0426982198419239,0.0513650021666999,0.40582073892710246
neg13,0.0426982198419239,0.05794681396735124,0.46121241885335884
neg14,0.0426982198419239,0.05810138994235375,0.4624055520168491
neg15,0.0426982198419239,0.05550533988164467,0.44173703090927696
neg16,0.0426982198419239,0.057089846633765595,0.4545128324916501
neg17,0.041435402830483525,0.055978251094013894,0.459175381366675
neg18,0.041435402830483525,0.05723014299470529,0.4690573752763336
neg19,0.041435402830483525,0.05460563023625853,0.44796507727858303
neg20,0.041435402830483525,0.059951261145344485,0.4894703519674115
neg21,0.04052217614282583,0.059509543747794685,0.49591214223262936
neg22,0.04052217614282583,0.05741333151581708,0.4803141821643382
neg23,0.04052217614282583,0.0585512665540356,0.48888692363467934
neg24,0.03977074411632131,0.060324780004744734,0.5097178651323118
neg25,0.03977074411632131,0.06178458111135417,0.5197698927754291
neg26,0.04029258171173211,0.05471065731476644,0.4614466761811653
neg27,0.04029258171173211,0.0542398799068123,0.4575670643707759
neg28,0.040693060014358906,0.05348689737559125,0.4467739824662753
neg29,0.040693060014358906,0.06264272626869861,0.5159470743636829
neg30,0.0405207984359528,0.06067388586893105,0.5042320425543132
neg31,0.0405207984359528,0.04892707066933851,0.4075642049536743
neg32,0.04008611201708945,0.05798410609820418,0.4893586170272852
neg33,0.03958336991491507,0.054776661007693496,0.4699059825144021
neg34,0.0389340732275798,0.05506410904280774,0.4795241782793589
neg35,0.0389340732275798,0.05647185633911496,0.4905451199659796
neg36,0.03963101485436127,0.05639994194460673,0.48225625917562676
neg37,0.040456763167593834,0.05451998630731847,0.45805473820695397
neg38,0.04009766319570929,0.05616541106491572,0.4752760666754521
neg39,0.03935608181813066,0.06117691584845953,0.5200191503492544
neg40,0.0393211664206774,0.05383142584371143,0.4651151490755865
neg41,0.039307842656441494,0.05597450079734307,0.4825260596457892
neg42,0.03960833728299562,0.05838900610774767,0.4975481207223793
neg43,0.039612876532974184,0.05690695377688889,0.4863668006589821
