i,TE,err TE,p-value
0,1.763041991330395,0.16524323181854372,0.0
1,1.763041991330395,0.16756730642129047,0.0
2,1.784110393542866,0.1349427065827703,0.0
3,1.784110393542866,0.1542801629710547,0.0
4,1.784110393542866,0.1414763649576965,0.0
5,1.784110393542866,0.1585434586139474,0.0
6,1.784110393542866,0.1572892088081102,0.0
7,1.784110393542866,0.15064953841178386,0.0
8,1.784110393542866,0.14628727573130954,0.0
9,1.784110393542866,0.15252475687318326,0.0
10,1.784110393542866,0.15524664008097486,0.0
11,1.7863654836393543,0.13679313578496805,0.0
12,1.7863654836393543,0.16919618373466888,0.0
13,1.7863654836393543,0.1559061720281195,0.0
14,1.7863654836393543,0.16164191265525393,0.0
15,1.7863654836393543,0.13605415380278124,0.0
16,1.7863654836393543,0.1466590224759085,0.0
17,1.7833626677482766,0.1502479128512322,0.0
18,1.7833626677482766,0.14953249873325214,0.0
19,1.7833626677482766,0.1461483310658834,0.0
20,1.783432075663196,0.17327244123036367,0.0
21,1.783432075663196,0.16449985247392046,0.0
22,1.783432075663196,0.14241004123813222,0.0
23,1.782011245588997,0.14888421015444367,0.0
24,1.782011245588997,0.14901556011379122,0.0
25,1.782011245588997,0.15159408130735286,0.0
26,1.780621799337311,0.1411494999689022,0.0
27,1.780621799337311,0.16974435064474686,0.0
28,1.778686194421617,0.16460643726714258,0.0
29,1.778686194421617,0.13815072995455444,0.0
30,1.7759043734276077,0.16107488581540894,0.0
31,1.773734007247345,0.16144928691223895,0.0
32,1.773734007247345,0.15810603839179926,0.0
33,1.7719696459520975,0.15926004866521642,0.0
34,1.7705854642815861,0.14089078213313105,0.0
35,1.7691817655179705,0.16181754264221715,0.0
36,1.768046018293468,0.17856491333832705,0.0
37,1.7668687142136648,0.16611957835319835,0.0
38,1.7662375496416072,0.15880401818551643,0.0
39,1.7650520286830478,0.1486423380658689,0.0
40,1.7645652220624015,0.15437125273325114,0.0
41,1.7649521989394348,0.1536833006905679,0.0
42,1.7652298949659677,0.14425290703709626,0.0
43,1.7662102329020701,0.1604707865514856,0.0
44,1.7697849406524053,0.1500283272639721,0.0
45,1.7712455433076943,0.16671975695158373,0.0
46,1.775220346937111,0.15104271989035073,0.0
47,1.7803161712075237,0.15849276913074242,0.0
48,1.7837849641942753,0.1489108508836908,0.0
49,1.7865772350242892,0.15374323862899655,0.0
50,1.7932012712464083,0.15807699596463912,0.0
51,1.7980592272553562,0.14098558607637215,0.0
52,1.8009483444150316,0.13280365669859429,0.0
53,1.801588064645749,0.14773396180731607,0.0
54,1.8009501390965692,0.13672671157085925,0.0
55,1.8017634209466031,0.1339327582197341,0.0
56,1.8046510715266901,0.15517419264994192,0.0
57,1.8098801121755113,0.14995596391848642,0.0
58,1.8132265247211539,0.14952373052748946,0.0
59,1.818009313577166,0.15691921371410034,0.0
60,1.8197950653747537,0.14243356745400626,0.0
61,1.8211040485997945,0.14391048876874185,0.0
62,1.8166089341172196,0.1601875153948445,0.0
63,1.8100516028259186,0.15104549145697435,0.0
64,1.8045478075869497,0.14899746682621767,0.0
65,1.7978332253352498,0.12320965057071084,0.0
66,1.7905687177818805,0.1491448603921369,0.0
67,1.7779792044999922,0.14649971951849147,0.0
68,1.76701699484493,0.152612189121021,0.0
69,1.7473600746362354,0.15239400069698567,0.0
70,1.7220322064797156,0.14184230548870938,0.0
71,1.70325599908141,0.1578935683927115,0.0
72,1.6798110777577655,0.15555970675222577,0.0
73,1.6567565118985197,0.14478951998807882,0.0
74,1.6280442587662698,0.13932311568784395,0.0
75,1.6101662355491406,0.15800123966805135,0.0
76,1.5782356811825977,0.15003242377019346,0.0
77,1.5531358552227488,0.14263956858542187,0.0
78,1.5308207408453711,0.1704951422756066,0.0
79,1.4981646988951844,0.1365183245003239,0.0
80,1.4668323062612405,0.14618390904279022,0.0
81,1.4328981275241848,0.1311468103883284,0.0
82,1.399724287008553,0.1545448446340747,0.0
83,1.3726778695145647,0.15231240503084048,0.0
84,1.3538210021509052,0.15447927463708244,0.0
85,1.3287828798469956,0.13353779330215024,0.0
86,1.2998502941598407,0.14701789833262713,0.0
87,1.2662830664679827,0.135565591622129,0.0
88,1.2288476351509239,0.14529270925949175,0.0
89,1.1934835314573942,0.14841391729792827,8.881784197001252e-16
90,1.1552244178115334,0.14011599936283736,2.220446049250313e-16
91,1.1238650669584267,0.13339124378864342,0.0
92,1.1151306178130476,0.13306577280310133,0.0
93,1.136784531317268,0.16352578611251428,3.608668919241609e-12
94,1.1624308634446603,0.1329206683750254,0.0
95,1.174555970721924,0.1428724379694234,2.220446049250313e-16
96,1.1691974510877206,0.1353687083121705,0.0
97,1.2260260297376036,0.14464218727984987,0.0
98,1.3271335994392643,0.13818487893804934,0.0
99,1.3743817309569017,0.14981770443441927,0.0
100,1.3743817309569017,0.1502336214542484,0.0
