i,TE,err TE,p-value
0,-0.11597895326791274,0.024162876250821547,1.5875919328056654e-06
1,-0.11597895326791274,0.024742665939453828,2.7668794371216165e-06
2,-0.0013578620585605883,0.028580865242313312,0.9621071745604846
3,-0.0013578620585605883,0.023468855562266685,0.9538617037947388
4,-0.0013578620585605883,0.027290239439848082,0.9603165701043934
5,-0.0013578620585605883,0.025243638576339003,0.9571022641190912
6,-0.0013578620585605883,0.026576528799153495,0.9592517895082109
7,-0.0013578620585605883,0.02387679715862845,0.9546491323513917
8,-0.0013578620585605883,0.02428656911800241,0.9554135051277719
9,-0.0013578620585605883,0.027466331528113737,0.9605707805572223
10,-0.0013578620585605883,0.025135318178815376,0.9569175761457895
11,0.014401980761268751,0.021791200244602224,0.5086712508622475
12,0.014401980761268751,0.025598053561811433,0.573693567297318
13,0.014401980761268751,0.023354445519864042,0.5374525584854988
14,0.014401980761268751,0.025500849627340318,0.5722337916144813
15,0.014401980761268751,0.02443457551977125,0.5555863356721056
16,0.014401980761268751,0.023134028359215304,0.5335833625440443
17,0.010016139306433747,0.029512353767371727,0.7343174423816254
18,0.010016139306433747,0.02571759490027147,0.6969311554869373
19,0.010016139306433747,0.026697306487001853,0.707530952699807
20,0.010016139306433747,0.024104470178947363,0.6777536907046393
21,0.011225978466594233,0.02546144176389583,0.6592845749580873
22,0.011225978466594233,0.023556519716903403,0.6336789970918977
23,0.011225978466594233,0.025218814210574075,0.6562164199614715
24,0.012389955496035832,0.02448756827183006,0.6128782669004829
25,0.012389955496035832,0.02638375114556066,0.6386368715182056
26,0.012923226111244412,0.023713686504293893,0.5857747779594424
27,0.012923226111244412,0.02354383726629682,0.583073674868211
28,0.012182857472280872,0.024936474473501644,0.6251562618844431
29,0.012182857472280872,0.02460391224992901,0.6204876343795984
30,0.013865657597796455,0.02727508937933131,0.611198504355362
31,0.013865657597796455,0.028145982733645682,0.622271482365349
32,0.013531984285636733,0.026843119766739393,0.6141814838679729
33,0.012595347712801352,0.02663522406849398,0.6362965723682965
34,0.013175628100090764,0.02582729595781046,0.6099509060828334
35,0.013175628100090764,0.02587294263622228,0.6105815491968982
36,0.013559560769738521,0.024053678467042656,0.572944105637087
37,0.013023660222692968,0.02502125911735248,0.6027124864123743
38,0.013726428661457346,0.02290274418248226,0.5489491494074108
39,0.013485661117361492,0.024570787009209494,0.583108822048382
40,0.01402899685104586,0.024294209505153996,0.5636270113424477
41,0.013376544319291694,0.024781785139365846,0.589353427715984
42,0.011626985747032803,0.020772979380023412,0.5756726147152642
43,0.01248733130885582,0.02391781525633213,0.6016053649914377
44,0.014095546237772982,0.025243188051715913,0.5765780332917063
45,0.013395731118038157,0.02551844698364926,0.5996227886953849
46,0.013683368123635686,0.0244450320511376,0.5756426767433962
47,0.014712015589058991,0.024861190138124958,0.5540070634896499
48,0.014136669934321944,0.025410423415350315,0.5779828863310466
49,0.014399741828895474,0.025692569497230436,0.5751634778019652
50,0.014991178177035769,0.025890408595973968,0.5625727126552931
51,0.015675692334757407,0.021463353908733517,0.46517821430724493
52,0.015659401478584245,0.023317503736009198,0.5018556935291083
53,0.014797765983344702,0.0271719993964244,0.5860313102206405
54,0.014187627220041188,0.02626300810537031,0.5890499167716905
55,0.013783658901144413,0.024433551618502292,0.5726667926203652
56,0.015012442108387036,0.023815049956774047,0.5284484397181344
57,0.01441987208407891,0.02541222485111195,0.5704163702544982
58,0.01410085906233216,0.026958174499875538,0.6009294979000268
59,0.013643916950952129,0.023895365150063585,0.5680091900975393
60,0.014123830210121646,0.02559148819760564,0.5810198703859097
61,0.013446370605541436,0.025463456924921465,0.5974539435258088
62,0.013386156301833374,0.024881392217358977,0.5905779562218854
63,0.012286483614812438,0.023255708044738893,0.597276418759809
64,0.012234889288665007,0.02412833049655488,0.6121017273395533
65,0.012823749875902957,0.025589614134882154,0.6162789047244872
66,0.011517511575089845,0.023070896428405287,0.6176226153977109
67,0.009408325953396357,0.0213059221120651,0.658791227466315
68,0.009720768690365755,0.02686161319091034,0.717439254901421
69,0.010232750744720631,0.02449669497023963,0.6761521068270364
70,0.010915423126011348,0.024785236660603966,0.6596472817341648
71,0.011687220597494719,0.024234605242927903,0.6296259518661984
72,0.011680886154528336,0.02814696061180498,0.6781445689502794
73,0.010838655541723696,0.024720349674807147,0.6610595735246778
74,0.009795257825450099,0.025988835795836284,0.7062460451237986
75,0.009417389786980701,0.028120448376314177,0.7377045024580473
76,0.01192187178792925,0.029395235325437415,0.6850574204814657
77,0.010848375771140617,0.026648065322494318,0.6839359661204938
78,0.010109223585480942,0.028305534151548115,0.7209821049511076
79,0.009618451326689259,0.02386856513073004,0.6869661137492089
80,0.01030373455230471,0.02574816811929181,0.6890287315493264
81,0.009067263292076966,0.023394823188235325,0.6983301077450546
82,0.0090181620002312,0.023575509372585294,0.7020738676101892
83,0.00978104020331938,0.025742206608397555,0.7039742027824403
84,0.010433080120178184,0.020959446249238785,0.6186429156703115
85,0.009301613074850223,0.02388128600676159,0.6969108887621795
86,0.012696689034783493,0.025460668646256446,0.6180058660578835
87,0.012171093461312177,0.023473804303362555,0.6041116610861348
88,0.01275039059054972,0.027266672013941094,0.6400576865964491
89,0.01140756435136625,0.027285966693393112,0.6758927161256274
90,0.009059942040109625,0.02584231549359753,0.7258993089072103
91,0.010923510131632286,0.02363633686094948,0.643974452519108
92,0.01007048810786726,0.025633158083450045,0.6944158087634016
93,0.014207535041748098,0.028843255901179254,0.6223112435057119
94,0.007631947092177072,0.026459805375253782,0.7730133996890278
95,0.006884216593917358,0.026623901259907424,0.7959648750624568
96,0.004570285075746083,0.027493185411420616,0.8679732932238557
97,0.005007269603868991,0.02657466619449876,0.8505453285420683
98,0.009467159636618927,0.024399717294238458,0.6980139309685607
99,0.004359126489774212,0.023297507650949723,0.8515767491084942
100,0.002876127074342927,0.027374389861455194,0.9163231646927192
