i,TE,err TE,p-value
0,0.04991496940074924,0.05504627638259873,0.36452212103754444
1,0.04991496940074924,0.05792055555151529,0.3888067583447672
2,0.21006098146009222,0.05636080069018363,0.0001937141435868206
3,0.21006098146009222,0.056806715366106784,0.0002174594002353203
4,0.21006098146009222,0.0544229870476387,0.000113487236126808
5,0.21006098146009222,0.05451806710034628,0.00011665430678342581
6,0.21006098146009222,0.05177975267586025,4.9746026544505995e-05
7,0.21006098146009222,0.05791065479166962,0.0002863686151728384
8,0.21006098146009222,0.05460488064164035,0.00011960866110549695
9,0.21006098146009222,0.05377591996954839,9.374822536423189e-05
10,0.21006098146009222,0.060074766398531675,0.0004711233796994563
11,0.20837974089294065,0.0554990233547545,0.0001735797105968384
12,0.20837974089294065,0.05290863860003947,8.199861441871015e-05
13,0.20837974089294065,0.050582007719973475,3.794622472219622e-05
14,0.20837974089294065,0.05493680087629081,0.00014878953710240062
15,0.20837974089294065,0.05521484300698858,0.0001606633235593513
16,0.20837974089294065,0.053709552915343656,0.00010456305675132782
17,0.20038264516896476,0.05247646663492509,0.0001342525470671152
18,0.20038264516896476,0.0505255091594997,7.309810781275239e-05
19,0.20038264516896476,0.055801166159265156,0.0003293967423654287
20,0.20038264516896476,0.05281285711945293,0.00014811908817491393
21,0.18936315040014406,0.05420504474412811,0.0004768045802816534
22,0.18936315040014406,0.0526664601691854,0.0003237480430779982
23,0.18936315040014406,0.05581392894040332,0.0006919275361820798
24,0.17521539941764885,0.05775802430450979,0.0024164549756700016
25,0.17521539941764885,0.0590000824396802,0.0029804375945736705
26,0.1633597994367868,0.05713060810333488,0.004244305990164454
27,0.1633597994367868,0.05538126603732375,0.0031805141616567667
28,0.15394381695842085,0.05742705039437734,0.007347170011158255
29,0.15394381695842085,0.06128110895159326,0.012001761024919011
30,0.14412104669470693,0.05821975951394869,0.013306235703819391
31,0.14412104669470693,0.05331168640606842,0.006864093904477286
32,0.13666071558107973,0.05471615410669548,0.012502656443423188
33,0.13053732282038055,0.050701173463552844,0.010034416123291923
34,0.12299648499895355,0.059302849388478365,0.03807559102574687
35,0.12299648499895355,0.05805081865557508,0.03410968792430835
36,0.11598771018527643,0.047200512964888995,0.013997013131169966
37,0.11085646904026802,0.05643983466594756,0.0495123546016798
38,0.10567105201540983,0.06123169836296793,0.0843910800714367
39,0.0981012184594654,0.049493776234878696,0.047468943557527954
40,0.09437467320088899,0.05198391501157414,0.0694533810327862
41,0.09222287846110078,0.05345857129906886,0.08450440660258884
42,0.08701291788421273,0.050813107050687686,0.08682097352797702
43,0.08298936324941764,0.055167346914433826,0.132498898802617
44,0.07465643821380397,0.060731062992422466,0.21896093656472537
45,0.06920030776074881,0.05157003403518271,0.1796379857537973
46,0.06652206316655906,0.0548637867576565,0.2253229829983443
47,0.060269480131374564,0.05435809636121969,0.26753851563147
48,0.058299291347474025,0.04782832098386802,0.22287142829215423
49,0.05457430603270552,0.05888106957317841,0.35400101017493535
50,0.049728949839614955,0.052879639796687375,0.34700334075304484
51,0.04727568372999258,0.06129067344878825,0.44050798452337325
52,0.04506255158457506,0.05736999195250087,0.43217658180299523
53,0.044623193242902204,0.05725122323052587,0.43572777076383273
54,0.04397740429096686,0.056458039508653635,0.43601527887983993
55,0.042819850646353075,0.055196564368833155,0.4378846728760446
56,0.041949931604214896,0.054723279311785035,0.4433295298401141
57,0.04365651741141363,0.049899993194863504,0.3816390783944241
58,0.042327950440235185,0.04856502730275852,0.3834415464512313
59,0.04141548595123723,0.05585907023496609,0.4584338940809407
60,0.04146392465711912,0.05613823519123065,0.4601474990252874
61,0.04033877648079809,0.059270447173847426,0.49613199378484163
62,0.04240559906984487,0.05906525129585897,0.4727912287909515
63,0.04175743038513602,0.04932688359892721,0.39724873938132976
64,0.04201278998046476,0.05503190137785555,0.44520931783067375
65,0.041128792463787534,0.05480374143471944,0.45296917379317714
66,0.04282824778040606,0.0488081598509914,0.38022526903067
67,0.04311666417302007,0.060506571520618904,0.4760965719548875
68,0.04311787778867071,0.04992134831531811,0.3877438063488745
69,0.038683493238508504,0.0559368336250772,0.4892157486713038
70,0.037754836834245964,0.05974538588165747,0.5274333285674402
71,0.039265502261947915,0.05202494191978013,0.4504027215564139
72,0.04159710391260063,0.061013577433930696,0.4953856693826584
73,0.04249566937827254,0.053879978164477774,0.43028161084826344
74,0.04072297936480851,0.056007173733587635,0.46716291228094664
75,0.03972295338706289,0.04780328567620851,0.4059922660682971
76,0.03602223630977264,0.050573828349611334,0.4762974065929615
77,0.04050135759873541,0.05070955459847835,0.4244685461167961
78,0.040900777604090166,0.05524556189544047,0.459090659579648
79,0.042316153498983766,0.05284534399537325,0.42327371344002573
80,0.04242111936268245,0.056675196616134765,0.4541614475790541
81,0.04225279252491276,0.05105172232718773,0.40787057912637925
82,0.04599788807422556,0.055395181435538184,0.406335833009003
83,0.04285403594307979,0.05780489349199001,0.4584772870447664
