File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
neg0s,0.023576446786140903,1.763041991330395,0.033442037470730004,0.13900149308565884,"(False, 0.7049943295702628, 0.4808137649814177)","(True, 12.683619090652003, 0.0)"
neg1s,0.023576446786140903,1.763041991330395,0.032660335547666716,0.15202696400051408,"(False, 0.7218678678831034, 0.47037571824717483)","(True, 11.596903239641312, 0.0)"
neg2s,0.040419658555411964,1.75371291412716,0.03495924024007954,0.1554955848706652,"(False, 1.1561938496899096, 0.24760187494325336)","(True, 11.278216777574912, 0.0)"
neg3s,0.040419658555411964,1.75371291412716,0.03125686598471402,0.164825671262566,"(False, 1.2931449549413863, 0.1959609294133986)","(True, 10.639804471558978, 0.0)"
neg4s,0.040419658555411964,1.75371291412716,0.030312886643408588,0.13785222648356835,"(False, 1.3334150267804024, 0.1823956438144354)","(True, 12.721687265139662, 0.0)"
neg5s,0.040419658555411964,1.75371291412716,0.03295017652331294,0.15175587377082164,"(False, 1.2266901977540001, 0.21993905330737373)","(True, 11.556145212379576, 0.0)"
neg6s,0.040419658555411964,1.75371291412716,0.03406712526733149,0.14415246070087975,"(False, 1.18647106963769, 0.23543631988256997)","(True, 12.165681429234576, 0.0)"
neg7s,0.040419658555411964,1.75371291412716,0.03349090101289497,0.1578256608499241,"(False, 1.2068847756544148, 0.22747652156809162)","(True, 11.1117096211291, 0.0)"
neg8s,0.040419658555411964,1.75371291412716,0.034464985070649594,0.1508628598661676,"(False, 1.1727745847722235, 0.24088621258582932)","(True, 11.624550374312813, 0.0)"
neg9s,0.040419658555411964,1.75371291412716,0.03163252926245659,0.15074879379199016,"(False, 1.277787755131692, 0.20132427303470846)","(True, 11.633346244527903, 0.0)"
neg10s,0.040419658555411964,1.75371291412716,0.03192409376147582,0.16722699459114462,"(False, 1.2661176494910595, 0.20547096464342074)","(True, 10.48702046230535, 0.0)"
neg11s,0.027471691907276274,1.752187468769442,0.036047228287696215,0.15191808714015925,"(False, 0.7621027527559733, 0.44599868004429943)","(True, 11.533764686971594, 0.0)"
neg12s,0.027471691907276274,1.752187468769442,0.033387378925615795,0.14721367684630748,"(False, 0.8228166687921457, 0.41061225615740815)","(True, 11.902341591527144, 0.0)"
neg13s,0.027471691907276274,1.752187468769442,0.030550209341216744,0.15196034780697265,"(False, 0.8992308890732511, 0.3685296904901789)","(True, 11.53055710951093, 0.0)"
neg14s,0.027471691907276274,1.752187468769442,0.0329534987756352,0.16351001219185793,"(False, 0.8336502322353703, 0.4044781103931019)","(True, 10.716086711029511, 0.0)"
neg15s,0.027471691907276274,1.752187468769442,0.03479013286114289,0.13412207118841651,"(False, 0.7896403275297468, 0.42973784960912376)","(True, 13.064124742809446, 0.0)"
neg16s,0.027471691907276274,1.752187468769442,0.029097951716597136,0.15016581598543097,"(False, 0.9441108492735156, 0.3451130057692864)","(True, 11.668351130855498, 0.0)"
neg17s,0.024507494676264674,1.751103934528082,0.032599865234214834,0.15564434112398057,"(False, 0.7517667481196548, 0.45219134198898026)","(True, 11.25067523741976, 0.0)"
neg18s,0.024507494676264674,1.751103934528082,0.03290027715838787,0.16441000721693205,"(False, 0.7449023775174043, 0.4563307377570669)","(True, 10.650835458072661, 0.0)"
neg19s,0.024507494676264674,1.751103934528082,0.03596469339666179,0.1660760514982215,"(False, 0.6814320479801291, 0.4955981500999762)","(True, 10.543988243523689, 0.0)"
