File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
neg0w,-0.11597895326791274,0.04991496940074924,0.028088460679819193,0.057679347411623345,"(True, -4.129060491778409, 3.642485701638165e-05)","(False, 0.8653872077389445, 0.3868262998338099)"
neg1w,-0.11597895326791274,0.04991496940074924,0.024763529770178917,0.05893610982145558,"(True, -4.683458066934325, 2.8207518092404626e-06)","(False, 0.8469335616477658, 0.39703215435088124)"
neg2w,0.07423317365637683,0.047969808551215465,0.023630261922757623,0.05649117993121957,"(True, 3.1414452323478055, 0.0016811624786843282)","(False, 0.8491557197003278, 0.3957946489834838)"
neg3w,0.07423317365637683,0.047969808551215465,0.02263556152797559,0.06350222640200968,"(True, 3.279493356709135, 0.0010399365859750098)","(False, 0.7554035703809172, 0.450006871613007)"
neg4w,0.07423317365637683,0.047969808551215465,0.02691282016128472,0.05289312270602363,"(True, 2.758282974861346, 0.005810587403775713)","(False, 0.9069195785211698, 0.3644493268980753)"
neg5w,0.07423317365637683,0.047969808551215465,0.02686452187910792,0.05844583505156823,"(True, 2.763241943796018, 0.005723032691953511)","(False, 0.8207566631375957, 0.4117848879938677)"
neg6w,0.07423317365637683,0.047969808551215465,0.026722091081684593,0.06080811331135193,"(True, 2.77797023554255, 0.005469962859430577)","(False, 0.788871845202608, 0.4301869128020359)"
neg7w,0.07423317365637683,0.047969808551215465,0.02319320323879854,0.05721446418923586,"(True, 3.200643433857232, 0.0013712110262360522)","(False, 0.8384210047402724, 0.40179429663594224)"
neg8w,0.07423317365637683,0.047969808551215465,0.02652465774396909,0.05755901825750498,"(True, 2.7986477478019567, 0.0051317086065496564)","(False, 0.8334021323402402, 0.4046179725251471)"
neg9w,0.07423317365637683,0.047969808551215465,0.025037824927200063,0.05390896826434315,"(True, 2.9648411502283873, 0.003028392582472117)","(False, 0.8898298389981244, 0.37355726176018833)"
neg10w,0.07423317365637683,0.047969808551215465,0.02247569983295665,0.05367369991696521,"(True, 3.3028192317965988, 0.0009571806961210516)","(False, 0.8937302370700393, 0.3714662431571769)"
neg11w,0.024481912975738096,0.0426982198419239,0.02746482075571763,0.05472261231821421,"(False, 0.891391689517633, 0.3727190745411155)","(False, 0.7802664754678016, 0.43523404133193333)"
neg12w,0.024481912975738096,0.0426982198419239,0.025683145210089898,0.0513650021666999,"(False, 0.953228772234645, 0.3404741713655066)","(False, 0.8312706714846652, 0.40582073892710246)"
neg13w,0.024481912975738096,0.0426982198419239,0.027152169642643484,0.05794681396735124,"(False, 0.9016558638941453, 0.3672397054712544)","(False, 0.7368518977761435, 0.46121241885335884)"
neg14w,0.024481912975738096,0.0426982198419239,0.026582626087386957,0.05810138994235375,"(False, 0.9209742068092506, 0.35706389359620294)","(False, 0.7348915384690047, 0.4624055520168491)"
neg15w,0.024481912975738096,0.0426982198419239,0.02475729245486846,0.05550533988164467,"(False, 0.9888768337800925, 0.322723406208534)","(False, 0.7692632804874326, 0.44173703090927696)"
neg16w,0.024481912975738096,0.0426982198419239,0.025211190735635238,0.057089846633765595,"(False, 0.9710732520512674, 0.33151180242006606)","(False, 0.7479126737865536, 0.4545128324916501)"
neg17w,0.015570055739525746,0.041435402830483525,0.02211700598234972,0.055978251094013894,"(False, 0.7039856910085972, 0.48144168467415227)","(False, 0.7402053837104331, 0.459175381366675)"
neg18w,0.015570055739525746,0.041435402830483525,0.0265730306935005,0.05723014299470529,"(False, 0.5859345107870599, 0.5579195247717497)","(False, 0.7240136169905599, 0.4690573752763336)"
neg19w,0.015570055739525746,0.041435402830483525,0.027841849808449365,0.05460563023625853,"(False, 0.5592320857503006, 0.5760033381272438)","(False, 0.7588119146543633, 0.44796507727858303)"
neg20w,0.015570055739525746,0.041435402830483525,0.023846424570841206,0.059951261145344485,"(False, 0.6529304086351129, 0.51380114393783)","(False, 0.6911514793663551, 0.4894703519674115)"
neg21w,0.013816789084489578,0.04052217614282583,0.023329882183462755,0.059509543747794685,"(False, 0.5922356990848211, 0.5536927671858916)","(False, 0.6809357556925901, 0.49591214223262936)"
neg22w,0.013816789084489578,0.04052217614282583,0.0233992322430496,0.05741333151581708,"(False, 0.5904804457246093, 0.5548685916701614)","(False, 0.7057973309154194, 0.4803141821643382)"
neg23w,0.013816789084489578,0.04052217614282583,0.024169915106061965,0.0585512665540356,"(False, 0.5716523630248185, 0.5675575132547275)","(False, 0.6920802661959303, 0.48888692363467934)"
