File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
0s,0.023576446786140903,1.763041991330395,0.03197463124793954,0.16524323181854372,"(False, 0.7373485124292146, 0.4609104376829145)","(True, 10.669374908295307, 0.0)"
1s,0.023576446786140903,1.763041991330395,0.036741518441972924,0.16756730642129047,"(False, 0.6416840616801386, 0.5210783398999668)","(True, 10.521396022788783, 0.0)"
2s,0.02089415499233449,1.784110393542866,0.031959611733289345,0.1349427065827703,"(False, 0.6537674852467309, 0.5132616174907869)","(True, 13.221243583465103, 0.0)"
3s,0.02089415499233449,1.784110393542866,0.03227476994552752,0.1542801629710547,"(False, 0.6473835453389467, 0.5173837427277519)","(True, 11.56409456138306, 0.0)"
4s,0.02089415499233449,1.784110393542866,0.033393978665094116,0.1414763649576965,"(False, 0.6256863011706546, 0.531520720209472)","(True, 12.610660403073977, 0.0)"
5s,0.02089415499233449,1.784110393542866,0.03245145642548127,0.1585434586139474,"(False, 0.6438587753469256, 0.5196670162937074)","(True, 11.253131533399728, 0.0)"
6s,0.02089415499233449,1.784110393542866,0.02725837230878476,0.1572892088081102,"(False, 0.7665224744766134, 0.44336548446384105)","(True, 11.342865839699442, 0.0)"
7s,0.02089415499233449,1.784110393542866,0.03089993149462559,0.15064953841178386,"(False, 0.6761877448164764, 0.4989214524339656)","(True, 11.842786989935524, 0.0)"
8s,0.02089415499233449,1.784110393542866,0.03140274078283382,0.14628727573130954,"(False, 0.6653608720598106, 0.5058197050546658)","(True, 12.195936964605165, 0.0)"
9s,0.02089415499233449,1.784110393542866,0.030545357836977188,0.15252475687318326,"(False, 0.6840370017548371, 0.49395180093211977)","(True, 11.697185624929498, 0.0)"
10s,0.02089415499233449,1.784110393542866,0.03138582298876349,0.15524664008097486,"(False, 0.6657195192815194, 0.5055903947784715)","(True, 11.492103098735628, 0.0)"
11s,0.023999051762949586,1.7863654836393543,0.030500822578868082,0.13679313578496805,"(False, 0.7868329354362028, 0.43137967062476323)","(True, 13.058882475268579, 0.0)"
12s,0.023999051762949586,1.7863654836393543,0.031544949040491335,0.16919618373466888,"(False, 0.7607890484192642, 0.4467830767158363)","(True, 10.557953756455335, 0.0)"
13s,0.023999051762949586,1.7863654836393543,0.03153385059752943,0.1559061720281195,"(False, 0.7610568106398597, 0.4466231355324437)","(True, 11.457952308117491, 0.0)"
14s,0.023999051762949586,1.7863654836393543,0.03371031548220589,0.16164191265525393,"(False, 0.7119201176155581, 0.4765142437464487)","(True, 11.051375564017684, 0.0)"
15s,0.023999051762949586,1.7863654836393543,0.031913112479442236,0.13605415380278124,"(False, 0.7520122576075673, 0.45204368745316104)","(True, 13.129812164564997, 0.0)"
16s,0.023999051762949586,1.7863654836393543,0.033610313459017924,0.1466590224759085,"(False, 0.714038320178488, 0.47520348422897585)","(True, 12.180399497295152, 0.0)"
17s,0.023011482360794422,1.7833626677482766,0.034733489414069736,0.1502479128512322,"(False, 0.6625157088729761, 0.5076407707144268)","(True, 11.869467162010237, 0.0)"
18s,0.023011482360794422,1.7833626677482766,0.028756013786490085,0.14953249873325214,"(False, 0.8002319977884239, 0.4235763940417445)","(True, 11.926254712894082, 0.0)"
19s,0.023011482360794422,1.7833626677482766,0.036026907232534794,0.1461483310658834,"(False, 0.6387304414522005, 0.5229983057208138)","(True, 12.202415550981145, 0.0)"
20s,0.02302838687757136,1.783432075663196,0.03564346975794378,0.17327244123036367,"(False, 0.6460759020925305, 0.5182302008134896)","(True, 10.292647018761304, 0.0)"
21s,0.02302838687757136,1.783432075663196,0.03781572642979038,0.16449985247392046,"(False, 0.608963229103279, 0.5425488121432713)","(True, 10.841542097710626, 0.0)"
