File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
0w,-0.11597895326791274,0.04991496940074924,0.02785778831619417,0.05605482165739706,"(True, -4.163250576518035, 3.137487252780069e-05)","(False, 0.8904670093471327, 0.37321517527730963)"
1w,-0.11597895326791274,0.04991496940074924,0.02905332042025351,0.05458992382886398,"(True, -3.9919345393327936, 6.553646557239112e-05)","(False, 0.9143623199993751, 0.36052649410827176)"
2w,-0.0013578620585605883,0.21006098146009222,0.021946767671995902,0.052588356575465525,"(False, -0.06187070819969638, 0.9506657942636985)","(True, 3.9944389811583063, 6.484761887537438e-05)"
3w,-0.0013578620585605883,0.21006098146009222,0.025254595621964113,0.05912974175874809,"(False, -0.053766929349668355, 0.957120857946383)","(True, 3.5525435290610625, 0.0003815258891861628)"
4w,-0.0013578620585605883,0.21006098146009222,0.025762531113965124,0.06204340106896679,"(False, -0.052706857589180374, 0.9579654750565814)","(True, 3.385710290552748, 0.000709942908214467)"
5w,-0.0013578620585605883,0.21006098146009222,0.02599511092399598,0.05505796672500353,"(False, -0.0522352861863402, 0.9583412169896997)","(True, 3.815269505124987, 0.00013603438307141502)"
6w,-0.0013578620585605883,0.21006098146009222,0.02780652683761542,0.05322795262950702,"(False, -0.04883249412953413, 0.9610527864852747)","(True, 3.946441128822312, 7.932141373023782e-05)"
7w,-0.0013578620585605883,0.21006098146009222,0.023800925777377104,0.05019167385841573,"(False, -0.05705080849633348, 0.9545047216892657)","(True, 4.185175853123514, 2.8494542036128223e-05)"
8w,-0.0013578620585605883,0.21006098146009222,0.02249634387071132,0.050100740996772836,"(False, -0.060359232876433334, 0.9518695268788944)","(True, 4.192771948694791, 2.7556643106940726e-05)"
9w,-0.0013578620585605883,0.21006098146009222,0.03309589697676968,0.052493648450302265,"(False, -0.04102810869618323, 0.9672734872241135)","(True, 4.00164567831411, 6.290344747417187e-05)"
10w,-0.0013578620585605883,0.21006098146009222,0.028891268640125,0.05671663567526131,"(False, -0.046999045818111, 0.9625139880167495)","(True, 3.7036925579088384, 0.0002124837551802372)"
11w,0.014401980761268751,0.20837974089294065,0.024111948590775475,0.05059678479230133,"(False, 0.5972964278290859, 0.5503094890027485)","(True, 4.118438389876646, 3.814485197373152e-05)"
12w,0.014401980761268751,0.20837974089294065,0.022933385906072915,0.05469085176335439,"(False, 0.6279919075296687, 0.5300092412938167)","(True, 3.8101388838227144, 0.00013888874663847695)"
13w,0.014401980761268751,0.20837974089294065,0.02451496484251232,0.05214582389911332,"(False, 0.5874771126040425, 0.5568833174824874)","(True, 3.996096433265558, 6.43955111689909e-05)"
14w,0.014401980761268751,0.20837974089294065,0.025330485706450846,0.05637770898156804,"(False, 0.5685631506703023, 0.5696526380268878)","(True, 3.6961370842697368, 0.00021890480451802752)"
15w,0.014401980761268751,0.20837974089294065,0.022785460601388773,0.056292946371494915,"(False, 0.6320688887189294, 0.5273418635047304)","(True, 3.701702510253718, 0.00021415762816667794)"
16w,0.014401980761268751,0.20837974089294065,0.022151328995935464,0.06021486666448921,"(False, 0.6501632820275192, 0.5155867560455638)","(True, 3.460602878256133, 0.0005389672490367925)"
17w,0.010016139306433747,0.20038264516896476,0.028689988195158597,0.057251745103610016,"(False, 0.34911618778999565, 0.7270020841617897)","(True, 3.5000268516938116, 0.0004652112942562514)"
18w,0.010016139306433747,0.20038264516896476,0.025645794360884978,0.062462259285735226,"(False, 0.3905567971686767, 0.696124864994087)","(True, 3.208059514022846, 0.00133633841934655)"
19w,0.010016139306433747,0.20038264516896476,0.02409147640583044,0.053635437864938254,"(False, 0.4157544825276759, 0.6775896692603918)","(True, 3.736012105905746, 0.00018696167122511653)"
