# EPAC,CPAC,NAT,WPAC
-2.003651857376098633e-02,9.853383302688598633e-01,3.748633265495300293e-01,-9.972169399261474609e-01
-1.652491092681884766e-02,9.814512729644775391e-01,7.622397541999816895e-01,-7.376571297645568848e-01
7.520135492086410522e-02,7.651996016502380371e-01,5.478714108467102051e-01,2.652566134929656982e-01
-2.310030758380889893e-01,9.759454429149627686e-02,7.094430923461914062e-01,2.967245578765869141e-01
3.615709841251373291e-01,9.510657191276550293e-01,3.362546563148498535e-01,-1.706251353025436401e-01
3.506502807140350342e-01,1.151017069816589355e+00,8.104194700717926025e-02,6.580982804298400879e-01
4.918863475322723389e-01,1.469041705131530762e+00,-1.071860268712043762e-01,1.358716726303100586e+00
-1.386226341128349304e-02,1.589455604553222656e+00,2.344447374343872070e-01,-4.811426699161529541e-01
5.491911172866821289e-01,1.319872260093688965e+00,-8.479735851287841797e-01,1.399939060211181641e-01
2.037416100502014160e-01,4.161624610424041748e-01,-6.613793969154357910e-01,1.586199522018432617e+00
5.503488183021545410e-01,1.259519100189208984e+00,-3.395259082317352295e-01,-4.485487565398216248e-02
-3.000003695487976074e-01,1.357739329338073730e+00,-9.359394311904907227e-01,1.200361967086791992e+00
4.708167016506195068e-01,1.849634647369384766e+00,3.166493773460388184e-01,1.249695539474487305e+00
6.081166863441467285e-01,1.539802074432373047e+00,1.724876642227172852e+00,2.301029443740844727e+00
9.214215278625488281e-01,8.888735175132751465e-01,2.003074586391448975e-01,2.082175016403198242e+00
1.621196031570434570e+00,6.894237399101257324e-01,1.261830687522888184e+00,2.101461648941040039e+00
8.038791418075561523e-01,7.031745314598083496e-01,5.547504425048828125e-01,-1.134752929210662842e-01
1.262124657630920410e+00,9.624341726303100586e-01,-4.381278902292251587e-02,1.712781906127929688e+00
4.182969629764556885e-01,8.791768550872802734e-01,8.577129244804382324e-02,1.621727824211120605e+00
7.198707461357116699e-01,9.018301963806152344e-01,-2.399516701698303223e-01,-8.759037405252456665e-02
5.446376204490661621e-01,1.048784375190734863e+00,-4.667023122310638428e-01,1.856731772422790527e-01
