k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	-0.005488	0.005421	0.300000	-0.007492	0.005868	0.500000
2	-0.003558	0.003693	0.310000	-0.004799	0.003251	0.440000
3	-0.000967	0.002487	0.080000	-0.001414	0.002656	0.210000
4	0.000618	0.002476	0.060000	0.000192	0.002132	0.110000
5	0.001360	0.001738	0.000000	0.000991	0.002192	0.050000
6	0.001327	0.001657	0.000000	0.001892	0.001923	0.000000
7	0.000959	0.001510	0.010000	0.002021	0.001791	0.020000
8	0.000648	0.001518	0.030000	0.002261	0.001492	0.000000
9	0.000945	0.001378	0.010000	0.003080	0.001637	0.000000
10	0.000890	0.001340	0.010000	0.003793	0.001342	0.000000
11	0.001428	0.001148	0.000000	0.003963	0.001196	0.000000
12	0.001320	0.001052	0.000000	0.003662	0.001230	0.000000
13	0.001472	0.001247	0.010000	0.004344	0.001186	0.000000
14	0.001967	0.001158	0.010000	0.004569	0.001159	0.000000
15	0.001906	0.000919	0.000000	0.004523	0.001031	0.000000
