k	TE_1to2	std_1to2	pval_1to2	TE_2to1	std_2to1	pval_2to1
1	-0.885979	0.000647	0.000000	0.088203	0.002171	0.000000
2	-0.400647	0.000324	0.000000	-0.000000	0.001430	0.000000
3	-0.280706	0.000276	0.000000	0.024683	0.001477	0.000000
4	-0.205772	0.000253	0.000000	-0.000000	0.001248	0.000000
5	-0.167532	0.000226	0.000000	0.004145	0.001038	0.000000
6	-0.139133	0.000210	0.000000	0.000000	0.001195	0.000000
7	-0.125416	0.000204	0.000000	-0.000561	0.000972	0.000000
8	-0.111375	0.000208	0.000000	-0.000142	0.001026	0.000000
9	-0.098598	0.000198	0.000000	-0.001222	0.000938	0.000000
10	-0.087847	0.000236	0.000000	-0.000327	0.000813	0.000000
11	-0.079899	0.000223	0.000000	-0.001348	0.000703	0.000000
12	-0.072615	0.000224	0.000000	-0.000228	0.000721	0.000000
13	-0.067190	0.000225	0.000000	-0.000923	0.000611	0.000000
14	-0.062052	0.000186	0.000000	0.000156	0.000661	0.000000
15	-0.057539	0.000226	0.000000	0.000136	0.000630	0.000000
