Pair,tau12,error tau12,r,error r
tau1->1,36.6783623281045,8.30705202166074,1.0,0.0
tau1->2,2.4724777728693828,2.2440029838571034,0.1193819289356546,0.08195649904800582
tau1->3,2.223851829183581,2.6126283489450963,-0.13690945967632132,0.11629185891686616
tau1->4,2.9483179821346215,3.8716104702791716,-0.358105808165958,0.0871860075728494
tau1->5,2.0540664740021635,3.0251875725064066,0.12378653999144289,0.1463575254220815
tau1->6,0.03703073511322919,2.9504035185456927,-0.0010944971784326582,0.13458165838849317
tau1->7,15.704807989702102,5.9373533526727575,0.3380393734992034,0.08029354220406094
tau1->8,3.5528118478232114,2.887426917212634,0.16835660328395266,0.10146355386956057
tau1->9,0.2714336589821564,2.102119086287725,0.03410723687551964,0.09392472446861118
tau1->10,1.7518590304171846,3.3570408088102637,-0.13297183414448419,0.0887709157187341
tau1->11,1.1148975602724935,12.912116554009053,0.9556548255912695,0.011947861571623062
tau1->12,1.181003365702947,1.9142383650071948,0.07697505277931824,0.10166695389255831
tau1->13,1.4284593878196157,2.318846045492848,-0.08906302681738028,0.13649589180823998
tau1->14,0.9679994835490217,1.9962344058576205,-0.2755365073920684,0.08947789948602561
tau1->15,2.82099650444022,4.705644821895792,-0.10382151951198054,0.18983471839054292
tau1->16,0.6657647176821775,2.0021909421377795,-0.05894351156408126,0.13079110143135636
tau1->17,8.71222825755533,4.393658311579005,0.3823251540191637,0.07788893279654649
tau1->18,0.7880819088958507,1.7776501668040514,0.08370333230999924,0.10657345155783379
tau1->19,4.1307676260291375,3.8517505028372674,-0.21040406195706743,0.08000281584814464
tau1->20,2.31743876064866,2.629736160250856,-0.10850733225474958,0.0725948217643926
tau1->21,0.21717001187548893,2.8015781382088347,-0.20704948740385276,0.07179454108138555
tau1->22,1.727350686685576,2.4896262474430877,0.13867423990165517,0.0761921351488904
tau1->23,0.7233316841544641,1.3284071602542031,-0.06485925135187359,0.07897349798036647
tau1->24,1.104355275556916,2.153437027205363,0.24493473346124428,0.0697371895693814
tau1->25,0.0026478328515867197,1.0542468976159456,-0.007071581393021922,0.10318370434786636
tau1->26,2.3065659271627514,2.5576514751816353,-0.14215891470508668,0.12746700072933692
tau1->27,3.508848832254006,2.8796379325798322,0.24515066573983849,0.09409991721596656
tau1->28,0.23793894625337494,0.8260368441587207,-0.05194914524664497,0.0964165633756739
tau1->29,0.12828793813564104,1.5317096269445745,0.05399512888496038,0.10757960445309048
tau1->30,1.9329273380320229,8.039476903576217,0.8158951397677993,0.03846337934813259
tau1->31,0.9024862421392666,1.5011049944482788,-0.09775493007898707,0.0779109630904585
tau1->32,0.1406296189977004,2.0876315576003432,-0.026948560178455244,0.13786048465555273
tau1->33,0.42780055363840436,1.9582528920631275,-0.0787420901895883,0.09328105227074958
tau1->34,0.33474403837307465,1.127874154445502,-0.05275881180668928,0.10361874553147775
tau1->35,0.02050678670516976,1.4972313728154958,-0.001984291729346876,0.08919524484184851
tau1->36,2.684465842763568,2.5120949163931328,0.1911874272204198,0.07120701742776984
tau2->1,0.6904425874127194,0.8282434092441032,0.1193819289356546,0.08195649904800582
tau2->2,10.145599743564487,5.596245571290767,1.0,0.0
tau2->3,2.9577847981300938,1.6073023221938392,-0.22164545101696195,0.08208243459768177
tau2->4,2.8619330533794387,2.2055945924293776,-0.5011982965392462,0.07925014183569629
tau2->5,0.8701344230677718,1.1737576345204992,0.09422427410650155,0.11007433628488207
tau2->6,0.027814945164458774,0.5642253553927055,-0.04131927031523319,0.0678044943201033
tau2->7,0.27760164597644094,0.9990485562029012,0.06146922520440271,0.09299217901380893
tau2->8,0.37790580708562804,0.9342031428875471,0.12680324892236322,0.1054407178375903
tau2->9,0.2886813804461733,1.5020540359300993,-0.01636097912192358,0.10556986415083834
tau2->10,2.452598448482435,1.7096652368402803,-0.16956369081067557,0.11385365745377238
tau2->11,2.206687306629806,1.3249917171173706,0.19877801037266207,0.08290924627636966
tau2->12,3.3953173638603418,4.840792357497803,0.8106533027331018,0.03056950473136377
tau2->13,3.8909516895967484,2.537928981781239,-0.47168173838596494,0.0740345696664371
tau2->14,0.4199059614142151,1.3402079519118617,-0.44582884963444075,0.07921940505334896
tau2->15,1.8662405849217802,1.6512736903052483,0.1669542176026058,0.1025317480749223
tau2->16,0.1794382695288424,0.6786996799595681,-0.11577818984482056,0.07354910000355329
tau2->17,0.2054439573117266,1.153136258936429,-0.06012444591228013,0.10379445322696863
