Pair,tau12,error tau12,r,error r
tau1->1,3.4431667988789134,27.204443078380464,1.0,0.0
tau1->2,8.858493403494082,34.10872941643497,0.5292284328989405,0.006356587756637605
tau1->3,2.1698788973572965e-05,21.113724420118082,0.9328812458306773,0.0017190122259518185
tau1->4,1.4427826187106756,5.160394479190487,0.233390142437903,0.011907953003083798
tau1->5,2.308147628870561,5.13472317191298,0.007643281208343586,0.01154727820276778
tau2->1,3.0311511010136534,4.927764213521314,0.5292284328989405,0.006356587756637605
tau2->2,19.027582647744282,16.503169314132734,1.0,0.0
tau2->3,1.5666110698309692,3.1021869719958413,0.4787866816990561,0.006769916300892978
tau2->4,0.0542433745458111,0.0909652521936662,0.08323580174061325,0.01049249265357167
tau2->5,1.7069495064602123,2.485028260260496,0.11143273086837756,0.009775051854494498
tau3->1,37.74813288744267,29.326715661559874,0.9328812458306773,0.0017190122259518185
tau3->2,68.44331520135724,35.85949328970656,0.4787866816990561,0.006769916300892978
tau3->3,25.453684265259476,25.294944078983196,1.0,0.0
tau3->4,11.003649194613553,14.066697185601452,0.5679622396621291,0.007975554609722643
tau3->5,2.885203510524143,9.893157155872867,0.019687864959326642,0.011524825511410222
tau4->1,0.23326871352458106,3.5136461965536294,0.233390142437903,0.011907953003083798
tau4->2,1.1989873968961202,3.1886746536960517,0.08323580174061325,0.01049249265357167
tau4->3,3.5700185099207755,9.588844510777806,0.5679622396621291,0.007975554609722643
tau4->4,10.764208338588244,19.560399477786515,1.0,0.0
tau4->5,14.492740123482179,8.032405365632687,0.035685392682910544,0.011466033966224908
tau5->1,0.0035041583301300273,0.01962267501793316,0.007643281208343586,0.01154727820276778
tau5->2,0.4437583199087936,0.3985348609619649,0.11143273086837756,0.009775051854494498
tau5->3,0.0009695064586903694,0.016596084870409124,0.019687864959326642,0.011524825511410222
tau5->4,0.01546763275831795,0.03517285934448138,0.035685392682910544,0.011466033966224908
tau5->5,70.86281281775288,17.66115634499464,1.0,0.0
